event_type,incident_kind,event_family,display_name,context_tags,consequence_profile,default_record_type,default_visibility,selection_weight,notes
property_crime,inheritance_fraud,property_crime,inheritance fraud,fraud;succession;household,property_loss,property_crime_record,rumored,0.60,Forged household or succession claim.
property_crime,extortion,property_crime,extortion,extortion,property_loss,property_crime_record,rumored,1.00,Baseline coercive property crime.
property_crime,market_extortion,property_crime,market extortion,extortion;market,property_loss,property_crime_record,rumored,0.75,Coercion around trade or tolls.
property_crime,hoarding_theft,property_crime,hoarding theft,hoarding;theft;scarcity,property_loss,property_crime_record,rumored,1.00,Secret taking during scarcity.
property_survival_crime,debt_evasion,property_survival_crime,debt evasion,debt;evasion;status_pressure,obligation_default,property_crime_record,rumored,1.00,Ontology row for unpaid obligations and hidden flight from debt.
property_survival_crime,scarcity_hoarding,property_survival_crime,scarcity hoarding,hoarding;scarcity;stored_goods,food_pressure,property_crime_record,rumored,1.00,Ontology row for hiding goods during shortage.
property_crime,street_theft,property_crime,street theft,theft;survival;street;scarcity,property_loss,property_crime_record,rumored,0.95,Survival theft tied to street precarity.
vagrancy,vagrancy,street_precarity,vagrancy,street;unemployed;status_fall,housing_crisis,street_record,rumored,1.00,Adult without stable household support.
begging,begging,street_precarity,begging,street;survival;public_witness,housing_crisis,street_record,public_known,1.00,Public survival appeal during street precarity.
household_scandal,abandonment_to_street,household_scandal,abandonment to street,abandonment;street;dependent;scarcity,household_crisis,household_memory,rumored,0.80,Household support ends and a dependent adult is pushed into street precarity.
status_rise,status_rise,status_mobility,status rise,prestige;mobility;public_witness,reputation,public_status_record,public_known,1.00,Person rises in social standing through achievement or patronage.
elite_job_promoted,elite_job_promoted,status_mobility,elite job promotion,prestige;job;mobility,reputation,public_status_record,public_known,1.00,Person enters a scarce high-standing role.
guild_admission,guild_admission,status_mobility,guild admission,guild;prestige;craft,reputation,guild_memory,public_known,0.90,Person is accepted into a guild or guild leadership path.
patronage_granted,patronage_granted,status_mobility,patronage granted,patronage;prestige;obligation,obligation,household_memory,rumored,0.85,Patron grants access or protection to a client.
status_fall,status_fall,status_mobility,status fall,prestige;scandal;debt,reputation_loss,public_status_record,rumored,1.00,Person loses standing through failure scandal or debt.
bankruptcy,bankruptcy,status_mobility,bankruptcy,debt;prestige;household,property_loss,property_crime_record,rumored,0.75,High-standing household loses public economic footing.
elite_household_investment,elite_household_investment,economy,elite household investment,prestige;investment;settlement,prosperity,settlement_chronicle,public_known,0.80,Elite household converts surplus into local opportunity or patronage.
elite_scandal,elite_scandal,status_mobility,elite scandal,prestige;scandal;patronage,reputation_loss,public_status_record,rumored,0.70,High standing creates exposure to public scandal or fraud.
street_vice_scandal,street_vice_scandal,street_precarity,street vice scandal,street;vice;survival;scandal,reputation_loss,scandal_record,rumored,1.00,Non-graphic local scandal around survival vice work.
affair_scandal,affair_exposed,household_scandal,affair exposed,rumor;household,relationship_fallout,scandal_record,rumored,1.00,Baseline household scandal.
affair_scandal,affair_witnessed,household_scandal,affair witnessed,witnessed;household,relationship_fallout,scandal_record,rumored,1.00,Secret relationship seen by witnesses.
affair_scandal,confessed_affair,household_scandal,confessed affair,confession;household,relationship_fallout,scandal_record,rumored,1.00,Open confession exposes paramour tie.
affair_scandal,double_affair_exposed,household_scandal,double affair exposed,double_household;household,relationship_fallout,scandal_record,rumored,1.00,Two betrayed households are implicated.
affair_scandal,heir_legitimacy_rumor,household_scandal,heir legitimacy rumor,succession;household;rumor,relationship_fallout,scandal_record,rumored,0.55,Scandal threatens later lineage claims.
affair_scandal,inheritance_scandal,household_scandal,inheritance scandal,succession;household,relationship_fallout,scandal_record,rumored,0.55,Affair creates inheritance doubt.
household_scandal,disputed_parentage,household_scandal,disputed parentage,parentage;lineage;succession,legal_fallout,scandal_record,rumored,1.00,Parentage uncertainty that can later affect inheritance or office claims.
household_scandal,elopement,household_scandal,elopement,elopement;household;migration,relationship_fallout,household_memory,public_known,1.00,Blocked partnership becomes household conflict and movement.
household_scandal,coerced_patronage,household_scandal,coerced patronage,patronage;coercion;status,obligation,scandal_record,rumored,1.00,Power-gap patronage with hidden pressure.
household_scandal,abandonment,household_scandal,abandonment,abandonment;dependent;scarcity,household_crisis,household_memory,rumored,1.00,Dependent care failure or flight under pressure.
household_scandal,neglect,household_scandal,neglect,neglect;dependent;household,health_loss,household_memory,private_known,1.00,Private household harm that may later surface.
household_scandal,inheritance_fraud,household_scandal,inheritance fraud,inheritance;fraud;succession,legal_fallout,scandal_record,rumored,1.00,Household-facing inheritance fraud ontology row.
political_crime,conspiracy,political_crime,conspiracy,plot;office;faction,title_crisis,court_chronicle,rumored,1.00,Political plot with hidden authorship.
political_crime,treason,political_crime,treason,treason;war;foreign_contact,exile_or_execution,court_chronicle,rumored,1.00,Betrayal of polity or office.
political_crime,forged_claim,political_crime,forged claim,claim;document;succession,legal_fallout,court_chronicle,rumored,1.00,Forged title land or succession claim.
political_crime,bribery,political_crime,bribery,bribery;office;favor,policy_shift,court_chronicle,rumored,1.00,Hidden payment around a public decision.
political_crime,sabotage,political_crime,sabotage,sabotage;infrastructure;war,property_loss,court_chronicle,rumored,1.00,Deliberate damage with political stakes.
political_crime,usurpation_plot,political_crime,usurpation plot,usurpation;succession;office,title_crisis,court_chronicle,rumored,1.00,Attempt to seize office through plot and support.
political_crime,false_accusation,political_crime,false accusation,accusation;court;rivalry,legal_fallout,court_chronicle,rumored,1.00,Weaponized public charge against a rival.
religious_cultural_conflict,heresy_accusation,religious_cultural_conflict,heresy accusation,heresy;accusation;doctrine,legal_fallout,temple_chronicle,rumored,1.00,Doctrine conflict or malicious religious charge.
religious_cultural_conflict,sacrilege,religious_cultural_conflict,sacrilege,sacrilege;shrine;ritual,unrest,temple_chronicle,rumored,1.00,Ritual or sacred-place violation.
religious_cultural_conflict,false_prophecy,religious_cultural_conflict,false prophecy,prophecy;omen;stress,cult_seed,temple_chronicle,rumored,1.00,Charismatic claim that may be fraud omen or later tradition.
religious_cultural_conflict,cult_founding,religious_cultural_conflict,cult founding,cult;followers;doctrine,institution_seed,temple_chronicle,rumored,1.00,New rites or doctrine gather followers.
religious_cultural_conflict,censorship,religious_cultural_conflict,censorship,censorship;text;authority,knowledge_loss,court_chronicle,public_known,1.00,Authority suppresses a work or teaching.
religious_cultural_conflict,purge,religious_cultural_conflict,purge,purge;authority;crisis,exile_or_death,temple_chronicle,public_known,1.00,Public campaign against accused cultural or religious enemies.
religious_cultural_conflict,iconoclasm,religious_cultural_conflict,iconoclasm,iconoclasm;site;ritual,unrest,temple_chronicle,rumored,1.00,Image or symbol destruction with public tension.
public_virtue,rescue,public_virtue,rescue,rescue,public_relief,public_virtue_record,public_known,0.00,Ontology alias; active generator currently uses concrete heroic and hazard-specific rescue rows.
public_virtue,mercy,public_virtue,mercy,mercy;relief,public_relief,public_virtue_record,public_known,0.00,Ontology alias; active generator currently uses public_mercy and famine_mercy rows.
public_virtue,arbitration,public_virtue,arbitration,arbitration,public_relief,public_virtue_record,public_known,0.00,Ontology alias; active generator currently uses public_arbitration and dispute-specific rows.
public_virtue,heroic_rescue,public_virtue,heroic rescue,rescue,public_relief,public_virtue_record,public_known,1.00,Baseline costly rescue.
public_virtue,river_rescue,public_virtue,river rescue,rescue;danger,public_relief,public_virtue_record,public_known,0.80,Rescue from water or flood danger.
public_virtue,fire_rescue,public_virtue,fire rescue,rescue;danger,public_relief,public_virtue_record,public_known,0.80,Rescue from house or storehouse fire.
public_virtue,public_mercy,public_virtue,public mercy,mercy;relief,public_relief,public_virtue_record,public_known,1.00,Baseline public mercy.
public_virtue,famine_mercy,public_virtue,famine mercy,mercy;relief;scarcity,public_relief,public_virtue_record,public_known,0.90,Relief during scarcity.
public_virtue,public_arbitration,public_virtue,public arbitration,arbitration;legal,public_relief,public_virtue_record,public_known,1.00,Baseline public dispute settlement.
public_virtue,boundary_arbitration,public_virtue,boundary arbitration,arbitration;legal;land,public_relief,public_virtue_record,public_known,0.75,Public settlement of land or route dispute.
public_virtue,succession_arbitration,public_virtue,succession arbitration,arbitration;legal;succession,public_relief,public_virtue_record,public_known,0.65,Public mediation around inheritance or office claim.
public_virtue,loyal_service,public_virtue,loyal service,loyal_service,public_relief,public_virtue_record,public_known,1.00,Baseline loyal service.
public_virtue,oath_kept_under_pressure,public_virtue,oath kept under pressure,loyal_service;succession,public_relief,public_virtue_record,public_known,0.70,Loyalty during claim or office stress.
public_virtue,whistleblowing,public_virtue,whistleblowing,whistleblowing;truth_telling;retaliation_risk,legal_fallout,public_virtue_record,rumored,1.00,Costly exposure of hidden wrongdoing.
public_virtue,refusal_unjust_orders,public_virtue,refusal of unjust orders,refusal;orders;authority,legal_fallout,public_virtue_record,rumored,1.00,Public conscience against a harmful command.
knowledge_culture,invention,knowledge_culture,invention,invention,knowledge_state,knowledge_record,public_known,1.00,Baseline invention.
knowledge_culture,improved_plow,knowledge_culture,improved plow,invention;craft;food,knowledge_state,knowledge_record,public_known,0.75,Agricultural tool improvement.
knowledge_culture,water_lift,knowledge_culture,water lift,invention;engineering;food,knowledge_state,knowledge_record,public_known,0.70,Water movement or irrigation device.
knowledge_culture,kiln_improvement,knowledge_culture,kiln improvement,invention;craft,knowledge_state,knowledge_record,public_known,0.70,Craft production advance.
knowledge_culture,dye_recipe,knowledge_culture,dye recipe,invention;art;craft,knowledge_state,knowledge_record,public_known,0.60,Recipe or material discovery.
knowledge_culture,shipbuilding_advance,knowledge_culture,shipbuilding advance,shipbuilding;sea;craft,knowledge_state,knowledge_record,public_known,0.70,Boat hull rigging or shipwright practice improvement.
knowledge_culture,navigation_discovery,knowledge_culture,navigation discovery,navigation;sea;discovery,knowledge_state,knowledge_record,public_known,0.75,Portable route finding pilotage or coastal navigation knowledge.
knowledge_culture,writing_system,knowledge_culture,writing system,writing;admin,knowledge_state,knowledge_record,public_known,0.65,Recordable signs or notation spread through administration and trade.
knowledge_culture,accounting_method,knowledge_culture,accounting method,accounting;trade;admin,knowledge_state,knowledge_record,public_known,0.70,Ledger tally or credit practice useful to merchants.
knowledge_culture,trade_law_precedent,knowledge_culture,trade law precedent,trade_law;legal;trade,knowledge_state,knowledge_record,public_known,0.65,Durable custom for contracts tolls shipping or merchant disputes.
knowledge_culture,standard_container,knowledge_culture,standard container,standard_container;craft;trade,knowledge_state,knowledge_record,public_known,0.60,Reusable container measure or packaging standard for exchange.
knowledge_culture,luxury_dye_recipe,knowledge_culture,luxury dye recipe,luxury_dye;craft;art;trade,knowledge_state,knowledge_record,public_known,0.55,High-value color recipe or finishing technique.
knowledge_culture,discovery,knowledge_culture,discovery,discovery,knowledge_state,knowledge_record,public_known,1.00,Baseline discovery.
knowledge_culture,medicinal_discovery,knowledge_culture,medicinal discovery,discovery;medicine,knowledge_state,knowledge_record,public_known,0.75,Healing or plant knowledge.
knowledge_culture,new_star_record,knowledge_culture,new star record,discovery;calendar;scholarship,knowledge_state,knowledge_record,public_known,0.55,Celestial or calendar observation.
knowledge_culture,legal_precedent,knowledge_culture,legal precedent,legal,knowledge_state,knowledge_record,public_known,1.00,Baseline legal precedent.
knowledge_culture,boundary_judgment,knowledge_culture,boundary judgment,legal;land,knowledge_state,knowledge_record,public_known,0.80,Judgment over land or water boundary.
knowledge_culture,inheritance_judgment,knowledge_culture,inheritance judgment,legal;succession,knowledge_state,knowledge_record,public_known,0.80,Durable inheritance rule.
knowledge_culture,succession_precedent,knowledge_culture,succession precedent,legal;succession,knowledge_state,knowledge_record,public_known,0.70,Office or dynastic succession ruling.
knowledge_culture,artistic_triumph,knowledge_culture,artistic triumph,art,knowledge_state,knowledge_record,public_known,1.00,Baseline public artwork or performance.
knowledge_culture,famous_performance,knowledge_culture,famous performance,art;performance,knowledge_state,knowledge_record,public_known,0.80,Performance that enters public memory.
knowledge_culture,scholarly_breakthrough,knowledge_culture,scholarly breakthrough,scholarship,knowledge_state,knowledge_record,public_known,1.00,Baseline scholarly breakthrough.
knowledge_culture,calendar_reform,knowledge_culture,calendar reform,scholarship;calendar;legal,knowledge_state,knowledge_record,public_known,0.65,Durable calendar or reckoning change.
knowledge_culture,failed_experiment,knowledge_culture,failed experiment,experiment;failure;lesson,knowledge_state,knowledge_record,rumored,1.00,Risky failed attempt that can still preserve a lesson.
private_life,grudge_formed,private_life,grudge formed,grudge;insult;future_risk,feud_seed,household_memory,private_known,1.00,Private resentment that can seed later events.
private_life,secret_kindness,private_life,secret kindness,kindness;secret;obligation,obligation,household_memory,private_known,1.00,Hidden help that may be rediscovered later.
private_life,blackmail,private_life,blackmail,blackmail;secret;coercion,obligation,household_secret,private_known,1.00,Secret leverage over another person.
private_life,rumor,private_life,rumor,rumor;reputation;uncertainty,reputation,rumor_record,rumored,1.00,First-class private or local rumor seed.
private_life,hidden_patronage,private_life,hidden patronage,patronage;secret;career,obligation,household_secret,private_known,1.00,Secret support behind later advancement.
private_life,apprenticeship_breakthrough,private_life,apprenticeship breakthrough,apprenticeship;craft;mentor,knowledge_state,work_record,private_known,1.00,Private craft or training advance.
private_life,mental_collapse,private_life,mental collapse,collapse;stress;household,household_crisis,household_memory,private_known,1.00,Private breakdown under stress without moral determinism.
private_life,hermitage,private_life,hermitage,hermitage;withdrawal;religious_pull,migration,household_memory,rumored,1.00,Withdrawal from ordinary society into isolation.
private_life,adoption_fostering,private_life,adoption or fostering,adoption;fostering;lineage,lineage_memory,lineage_memory,private_known,1.00,Child raised under another household or guardian.
outlaw_case_opened,outlaw_case_opened,violent_crime,outlaw case opened,wanted;legal;public_order,legal_fallout,outlaw_record,rumored,1.00,Serious known wrongdoing opens a wanted case.
outlaw_flight,outlaw_flight,violent_crime,outlaw flight,flight;legal;exile,exile_or_execution,outlaw_record,rumored,1.00,Wanted person flees ordinary settlement life.
outlaw_refuge_joined,outlaw_refuge_joined,violent_crime,outlaw refuge joined,refuge;hideout;band,exile_or_execution,outlaw_record,rumored,1.00,Fugitive joins or founds a non-settlement refuge.
outlaw_raid,outlaw_raid,property_survival_crime,outlaw raid,raid;survival;refuge,property_loss,outlaw_record,rumored,1.00,Refuge survives through theft or raiding.
outlaw_pursuit,outlaw_pursuit,political_crime,outlaw pursuit,pursuit;justice;authority,legal_fallout,outlaw_record,public_known,1.00,Authorities discover or move against an outlaw refuge.
outlaw_captured,outlaw_captured,political_crime,outlaw captured,capture;punishment;justice,legal_fallout,outlaw_record,public_known,1.00,Fugitive is captured and punished.
outlaw_killed,outlaw_killed,violent_crime,outlaw killed,pursuit;death;justice,death,outlaw_record,public_known,1.00,Fugitive dies during pursuit or punishment.
outlaw_bought_off,outlaw_bought_off,political_crime,outlaw case bought off,bribery;patronage;status,legal_fallout,outlaw_record,rumored,1.00,Wealth status or patronage softens a wanted case.
outlaw_returned,outlaw_returned,violent_crime,outlaw returned,return;stigma;exile,legal_fallout,outlaw_record,rumored,1.00,Former fugitive returns after resolution.
outlaw_forgotten,outlaw_forgotten,violent_crime,outlaw case forgotten,forgetting;fading;return,legal_fallout,outlaw_record,rumored,1.00,Wanted pressure fades enough for return.
