ethnic,concept_order,tag,feature_type,core_concept,concept,concept_key,normalized_form,component_tokens,confidence,source_intermediate_proto_from_reduction,lexicon_stage_used,lexicon_family_bucket,note
Alemannic,54,coastal,cape,anatomy and navigation,forehead,forehead,forhaubid,forehead,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,55,coastal,cape,anatomy and navigation,projection,projection,nasa,projection,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,56,coastal,cape,anatomy and navigation,land's end,land_s_end,land andja,land + end,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,57,coastal,natural harbor,utility and navigation,mouth,mouth_57,muth,mouth,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,58,coastal,natural harbor,utility and navigation,embrace,embrace,fangan,embrace,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,59,coastal,natural harbor,utility and navigation,shelter,shelter,skur,shelter,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,60,coastal,natural harbor,utility and navigation,safe haven,safe_haven,frith habn,safe + haven,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,61,coastal,natural harbor,utility and navigation,protected water,protected_water,wardad watar,protected + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,62,coastal,natural harbor,utility and navigation,quiet anchorage,quiet_anchorage,still ankarstad,quiet + anchorage,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,63,dryronym,forest,visibility and atmosphere,dark,dark,derk,dark,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,64,dryronym,forest,visibility and atmosphere,shadow,shadow,skadu,shadow,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,65,dryronym,forest,visibility and atmosphere,hidden place,hidden_place,hulid stad,hidden + place,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,66,dryronym,forest,visibility and atmosphere,dense canopy,dense_canopy,thikk laub,dense + canopy,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,67,dryronym,forest,visibility and atmosphere,timberland,timberland,widu land,timber + land,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,68,dryronym,forest,visibility and atmosphere,wild outside,wild_outside,wild ut,wild + outside,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,69,dryronym,woodland,utility and atmosphere,brush,brush,busk,brush,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,70,dryronym,woodland,utility and atmosphere,thicket,thicket,thikket,thicket,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,71,dryronym,woodland,utility and atmosphere,fuel source,fuel_source,widu spring,fuel + source,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,72,dryronym,woodland,utility and atmosphere,clearing-land,clearing_land,leuh land,clearing + land,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,73,dryronym,woodland,utility and atmosphere,sparse trees,sparse_trees,spar trewa,sparse + trees,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,74,limnonym,swamp,texture and sensation,sinking ground,sinking_ground,sinkand grund,sinking + ground,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,75,limnonym,swamp,texture and sensation,soft earth,soft_earth,malth ertho,soft + earth,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,76,limnonym,swamp,texture and sensation,mud,mud,muk,mud,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,77,limnonym,swamp,texture and sensation,rotten place,rotten_place,ful stad,rotten + place,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,78,limnonym,swamp,texture and sensation,decomposing water,decomposing_water,rotand watar,decomposing + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,79,limnonym,swamp,texture and sensation,stagnant mire,stagnant_mire,standand fen,stagnant + mire,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,80,limnonym,marsh,texture and sensation,bog,bog,mos,bog,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,81,limnonym,marsh,texture and sensation,fen,fen,fen,fen,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,82,limnonym,marsh,texture and sensation,reedy water,reedy_water,hreus watar,reed + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,83,limnonym,marsh,texture and sensation,wet plain,wet_plain,wat feld,wet + plain,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,84,limnonym,marsh,texture and sensation,shallow sludge,shallow_sludge,grund slim,shallow + sludge,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,85,potamonym,river,movement and visibility,that which flows,that_which_flows,fleutand thing,flowing + thing,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,86,potamonym,river,movement and visibility,running stream,running_stream,rinnand straum,running + stream,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,87,potamonym,river,movement and visibility,dark one,dark_one,derk ain,dark + one,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,88,potamonym,river,movement and visibility,bright one,bright_one,berht ain,bright + one,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,89,potamonym,river,movement and visibility,muddy one,muddy_one,mukig ain,muddy + one,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,90,potamonym,river,movement and visibility,pure one,pure_one,skir ain,pure + one,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,91,thalassonym,ocean,concept and sensation,boundless,boundless,unbundan,boundless,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,92,thalassonym,ocean,concept and sensation,outer ring,outer_ring,utar hring,outer + ring,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,93,thalassonym,ocean,concept and sensation,endless void,endless_void,andlaus tom,endless + void,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,94,thalassonym,ocean,concept and sensation,great circle,great_circle,mikl hring,great + circle,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,95,thalassonym,ocean,concept and sensation,encircling current,encircling_current,umbhring straum,encircling + current,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,96,thalassonym,sea,texture and sensation,salt water,salt_water,salt watar,salt + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,97,thalassonym,sea,texture and sensation,bitter water,bitter_water,bitar watar,bitter + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,98,thalassonym,sea,texture and sensation,turbulent,turbulent,hrohr,turbulent,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,99,thalassonym,sea,texture and sensation,swelling expanse,swelling_expanse,swellung wang,swelling + expanse,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,100,thalassonym,gulf,anatomy and geometry,bay,bay,bugt,bay,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,101,thalassonym,gulf,anatomy and geometry,deep hollow,deep_hollow,deup hol,deep + hollow,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,102,thalassonym,gulf,anatomy and geometry,pocket,pocket,poki,pocket,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,103,thalassonym,gulf,anatomy and geometry,wide embrace of coast,wide_embrace_of_coast,wid fangan strand,wide + embrace + coast,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,104,pedionym,plain,geometry and visibility,flat land,flat_land,flata land,flat + land,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,105,pedionym,plain,geometry and visibility,open space,open_space,opan rum,open + space,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,106,pedionym,plain,geometry and visibility,spread out,spread_out,spraid ut,spread + out,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,107,pedionym,plain,geometry and visibility,where eye reaches,where_eye_reaches,augo reik,eye + reaches,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,108,pedionym,plain,geometry and visibility,treeless expanse,treeless_expanse,trewlaus wang,treeless + expanse,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,109,pedionym,grassland,utility and vegetation,meadow,meadow,madu,meadow,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,110,pedionym,grassland,utility and vegetation,pasture land,pasture_land,leswe land,pasture + land,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,111,pedionym,grassland,utility and vegetation,green expanse,green_expanse,groni wang,green + expanse,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,112,pedionym,grassland,utility and vegetation,grazing field,grazing_field,gras feld,grazing + field,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,113,pedionym,steppe,geometry and visibility,barren plain,barren_plain,bar feld,barren + plain,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,114,pedionym,steppe,geometry and visibility,dry flat land,dry_flat_land,thurs flata land,dry + flat + land,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,115,pedionym,steppe,geometry and visibility,wide wasteland,wide_wasteland,wid wost,wide + wasteland,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,116,pedionym,steppe,geometry and visibility,horizon floor,horizon_floor,rand flor,horizon + floor,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,117,speleonym,cave,anatomy and hollows,mouth,mouth_117,muth,mouth,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
