composite_id,composite_name,component_1_trait,component_1_position,component_2_trait,component_2_position,component_3_trait,component_3_position,disqualifier_1_trait,disqualifier_1_position,disqualifier_2_trait,disqualifier_2_position,composite_family,short_definition,conversion_note
C033,Merchant,persuasion,peak,frugality,peak,perception,peak,,,,,commerce_social,"A trade-minded person who prices risk, reads people, and keeps enough discipline to profit.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C034,Entrepreneur,ambition,peak,adaptability,peak,persuasion,peak,courage,deficient,,,commerce_leadership,"A builder of new ventures who combines ambition, adaptation, persuasion, and risk tolerance.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C035,Accountant,frugality,peak,discipline,peak,focus,peak,honesty,deficient,,,commerce_administration,"A careful resource steward who prefers accuracy, restraint, and predictable systems.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C036,Miser,frugality,excessive,generosity,deficient,empathy,deficient,friendliness,peak,,,commerce_scarcity,A resource-hoarder whose fear of loss or envy overrides healthy exchange.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C037,Patron,generosity,peak,ambition,peak,persuasion,peak,frugality,deficient,,,commerce_art,"A person who converts surplus into influence by funding people, causes, or art.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C038,Administrator,civics,peak,discipline,peak,patience,peak,,,,,governance_operations,A civil order-maker who keeps systems running without needing glory.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C039,Bureaucrat,discipline,excessive,adaptability,deficient,civics,peak,creativity,peak,,,governance_operations,A rule-maintainer who may preserve order but risks rigidity and process worship.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C040,Loyal Retainer,loyalty,peak,discipline,peak,humility,peak,ambition,excessive,,,service_governance,"A dependable second-in-command who values duty, continuity, and service.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C041,Sycophant Courtier,loyalty,excessive,friendliness,excessive,persuasion,excessive,honesty,peak,humility,peak,social_court,A status-climber who survives by pleasing power rather than serving truth.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C042,Propagandist,persuasion,excessive,creativity,peak,honesty,deficient,humility,peak,,,politics_communication,A message-shaper who bends emotion and narrative toward a cause or patron.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C043,Demagogue,persuasion,excessive,ambition,excessive,modesty,deficient,humility,peak,honesty,peak,leadership_politics,A public manipulator who converts grievance into personal power.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C044,Cult Leader,persuasion,excessive,loyalty,excessive,humility,deficient,honesty,peak,empathy,peak,religion_manipulation,A control-oriented spiritual or ideological manipulator who demands devotion.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C045,Priest/Shaman,persuasion,peak,empathy,peak,discipline,peak,humility,deficient,justice,deficient,religion_culture,"A ritual and meaning specialist who connects people to moral, ancestral, or cosmic order.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C046,Mystic,creativity,excessive,perception,excessive,humility,excessive,neurochemical,peak,,,religion_creativity,"A person prone to visionary perception, symbolic thinking, and social withdrawal.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C047,Ascetic,temperance,excessive,discipline,peak,modesty,excessive,mating drive,excessive,,,religion_discipline,"A self-denying person who seeks control, purity, or transcendence by limiting appetite.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C048,Hermit,humility,excessive,friendliness,deficient,patience,peak,modesty,deficient,persuasion,peak,solitude_knowledge,"A withdrawal-oriented person who prefers distance, reflection, and self-contained survival.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C049,Archivist,discipline,peak,patience,peak,focus,peak,honesty,deficient,,,knowledge_administration,"A preservation-oriented person who keeps records, memory, and continuity intact.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C050,Teacher,patience,peak,intellect,peak,empathy,peak,,,,,education_social,A knowledge-transfer person who combines understanding with patience and care.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C051,Coach,perception,peak,discipline,peak,persuasion,peak,empathy,deficient,patience,deficient,education_performance,"A performance improver who blends motivation, discipline, perception, and care.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C052,Athlete,physical,peak,discipline,peak,resilience,peak,,,,,physical_performance,"A high-performance body specialist who turns fitness, focus, and discipline into status or labor.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C053,Laborer,physical,peak,discipline,peak,resilience,peak,patience,deficient,,,physical_production,"A reliable physical worker who contributes through endurance, repetition, and practical discipline.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C054,Stoic,neurochemical,deficient,resilience,peak,temperance,peak,,,,,temperament_survival,A controlled person who endures strain with little visible emotional leakage.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C055,Volatile Artist,creativity,excessive,neurochemical,excessive,modesty,deficient,discipline,peak,,,art_instability,A high-expression creator whose emotional instability fuels output and chaos.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C056,Perfectionist,discipline,excessive,focus,excessive,honesty,excessive,adaptability,peak,,,work_detail,A person whose standards and attention become compulsive rather than merely excellent.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C057,Obsessive Specialist,focus,excessive,discipline,excessive,curiosity,peak,,,,,knowledge_craft,A narrow expert who gains power by caring about one thing more than everyone else.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C058,Generalist,adaptability,peak,curiosity,peak,resilience,peak,focus,excessive,,,adaptability_work,"A flexible worker who can learn enough, switch roles, and keep functioning across contexts.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C059,Chaotic Drifter,discipline,deficient,focus,deficient,patience,deficient,loyalty,peak,,,instability_low_reliability,A poorly anchored person who follows impulses and distractions without durable commitments.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C060,Fragile Prodigy,resilience,deficient,intellect,peak,creativity,peak,physical,peak,neurochemical,peak,knowledge_vulnerability,A gifted but low-resilience person who can produce brilliance only under protected conditions.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C061,Survivalist,resilience,peak,frugality,peak,perception,peak,,,,,survival_scarcity,"A hard-condition survivor who can endure, conserve, notice threats, and avoid dependency.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C062,Desensitized Enforcer,resilience,excessive,empathy,deficient,assertiveness,excessive,justice,peak,,,violence_enforcement,A coercive agent who can carry out harsh orders without much emotional cost.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C063,Peacekeeper,courage,peak,assertiveness,peak,justice,peak,empathy,deficient,,,law_protection,A firm but restrained person who can stop harm without escalating it.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C064,Diplomat,persuasion,peak,patience,peak,civics,peak,,,,,governance_social,"A formal relationship-builder who manages conflict, status, and mutual interest.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C065,Social Butterfly,friendliness,peak,wit,peak,persuasion,peak,modesty,excessive,,,social_networking,"A high-contact person who gains energy, options, and information through people.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C066,Good Neighbor,friendliness,peak,generosity,peak,civics,peak,,,,,social_community,A cooperative community member who makes ordinary life easier for everyone nearby.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C067,Loner,friendliness,deficient,humility,excessive,focus,peak,loyalty,excessive,persuasion,peak,solitude_work_style,A person who avoids social dependence and works best with autonomy.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C068,Truth-Teller,honesty,peak,justice,peak,courage,peak,persuasion,excessive,,,ethics_communication,"A person strongly oriented toward honesty, sometimes at social cost.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C069,Tactless Truth-Teller,honesty,excessive,empathy,deficient,assertiveness,excessive,persuasion,peak,,,ethics_conflict,"A person who tells the truth with too little timing, mercy, or social calibration.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C070,Hidden Manipulator,persuasion,excessive,honesty,deficient,perception,excessive,humility,peak,modesty,deficient,social_deception,A low-visibility controller who influences from behind the scenes.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C071,Risk Taker,courage,excessive,temperance,deficient,patience,deficient,,,,,risk_commerce,A person drawn toward uncertain reward and immediate action.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C072,Strategist,intellect,peak,patience,peak,focus,peak,perception,deficient,,,leadership_knowledge,"A planner who wins by sequencing actions, reading constraints, and delaying gratification.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C073,Commander,assertiveness,peak,discipline,peak,courage,peak,,,,,leadership_military,A leader who organizes people under stress and turns plans into coordinated action.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C074,Submissive Servant,assertiveness,deficient,ambition,deficient,courage,deficient,,,,,service_low_agency,A low-agency support person who avoids conflict and follows stronger wills.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C075,Vain Noble,humility,deficient,symmetry,peak,ambition,peak,modesty,peak,generosity,deficient,status_leadership,A status-driven elite personality that treats appearance and admiration as power.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C076,Recluse Savant,humility,excessive,intellect,peak,focus,excessive,friendliness,peak,persuasion,peak,knowledge_solitude,A withdrawn expert whose knowledge grows in isolation rather than public exchange.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C077,Court Favorite,symmetry,peak,persuasion,peak,friendliness,peak,modesty,excessive,,,status_social,A socially attractive person who gains protection and opportunity through elite attention.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C078,Seducer,symmetry,peak,mating drive,excessive,modesty,deficient,honesty,peak,,,romantic_social,"A person who weaponizes attraction, desire, and charm for access or control.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C079,Stable Partner,mating drive,peak,loyalty,peak,empathy,peak,honesty,deficient,,,romantic_family,"A relationship-oriented person whose mating drive, loyalty, empathy, and restraint support durable bonds.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C080,Neglectful Drudge,nurturance,deficient,ambition,deficient,empathy,deficient,,,,,household_low_agency,"A low-care, low-drive person who performs minimal obligations without emotional investment.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C081,Authoritarian Puritan,civics,deficient,temperance,excessive,justice,excessive,curiosity,peak,empathy,peak,ideology_governance,A rigid moral controller who tries to impose restraint and conformity on others.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C082,Free Spirit,creativity,peak,curiosity,peak,civics,excessive,,,,,social_creativity,"A playful boundary-crosser who values expression, novelty, and autonomy.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C083,Censor,civics,deficient,curiosity,deficient,justice,excessive,creativity,peak,,,governance_culture,A control-oriented gatekeeper who suppresses expression to preserve order or purity.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C084,Dogmatist,curiosity,deficient,adaptability,deficient,justice,excessive,humility,peak,,,knowledge_ideology,A closed-minded person who prefers inherited answers over investigation.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C085,Dilettante,curiosity,excessive,focus,deficient,discipline,deficient,,,,,creativity_instability,A novelty-chaser who touches many things but struggles to finish.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C086,Rigid Traditionalist,adaptability,deficient,curiosity,deficient,civics,peak,creativity,peak,,,culture_governance,A stable but inflexible person who preserves ways of doing things long after conditions change.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C087,Indecisive Appeaser,adaptability,excessive,assertiveness,deficient,patience,excessive,courage,peak,,,social_instability,A conflict-avoiding person who over-adapts and fails to choose.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C088,Brutal Commander,assertiveness,excessive,empathy,deficient,discipline,peak,humility,peak,,,leadership_combat,"A command figure who gets obedience through fear, force, and low empathy.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C089,Humble Servant-Leader,humility,peak,civics,peak,loyalty,peak,ambition,excessive,,,leadership_service,"A low-ego leader whose authority comes from service, competence, and trust.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C090,Jealous Rival,generosity,deficient,humility,deficient,ambition,excessive,empathy,peak,,,social_conflict,A status-threatened person who resents others' success and competes destructively.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C091,Extravagant Patron,generosity,excessive,symmetry,peak,persuasion,peak,friendliness,deficient,frugality,peak,status_commerce,"A status-giver who spends lavishly to create spectacle, loyalty, and memory.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C092,Empathic Overidentifier,empathy,excessive,nurturance,peak,neurochemical,excessive,temperance,peak,resilience,peak,caregiving_vulnerability,A person who feels others so strongly that boundaries weaken.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C093,Martyr,loyalty,excessive,empathy,excessive,nurturance,excessive,assertiveness,peak,,,religion_caregiving,"A self-sacrificing person who turns loyalty, empathy, and duty into self-erasure.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C094,Callous Specialist,empathy,deficient,discipline,peak,focus,peak,nurturance,peak,generosity,peak,knowledge_anti_social,A competent expert who optimizes results without much regard for human cost.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C095,Slothful Dependent,ambition,deficient,discipline,deficient,physical,deficient,,,,,low_agency_household,A low-ambition person who relies on others and resists effort unless forced.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C096,Radiant Consort,symmetry,peak,friendliness,peak,modesty,peak,mating drive,deficient,empathy,deficient,social_romantic,"Beauty, warmth, and restraint; attractive without social disruption.",Native 3-trait addition.
C097,Dangerous Beauty,symmetry,peak,mating drive,excessive,persuasion,excessive,honesty,peak,empathy,peak,social_romantic,Attraction used as leverage; magnetism plus manipulation.,Native 3-trait addition.
C098,Fertility Icon,symmetry,peak,mating drive,excessive,nurturance,peak,physical,deficient,modesty,excessive,social_romantic,Strong reproductive signaling with caretaking and health.,Native 3-trait addition.
C099,Ice Beauty,symmetry,peak,neurochemical,deficient,friendliness,deficient,empathy,peak,mating drive,excessive,social_romantic,"Beautiful, controlled, and emotionally distant.",Native 3-trait addition.
C100,Effortless Flirt,modesty,deficient,wit,peak,friendliness,peak,persuasion,deficient,neurochemical,excessive,social_romantic,"Open, funny, approachable flirtation without needing calculation.",Native 3-trait addition.
C101,Heartbreaker,symmetry,peak,mating drive,excessive,empathy,deficient,loyalty,peak,nurturance,peak,social_romantic,Attractive and driven but careless with emotional consequences.,Native 3-trait addition.
C102,Devoted Spouse,loyalty,peak,mating drive,peak,nurturance,peak,honesty,deficient,empathy,deficient,social_romantic,"Stable partner archetype built around commitment, continuity, and care.",Native 3-trait addition.
C103,Jealous Possessive Lover,loyalty,excessive,mating drive,excessive,empathy,excessive,temperance,peak,justice,peak,social_romantic,"Attachment becomes control, suspicion, and overidentification.",Native 3-trait addition.
C104,Coy Courtship Figure,symmetry,peak,modesty,excessive,friendliness,peak,mating drive,excessive,assertiveness,excessive,social_romantic,Attractive and warm but inhibited; creates pursuit rather than initiating it.,Native 3-trait addition.
C105,Shameless Social Climber,modesty,deficient,ambition,excessive,persuasion,peak,humility,peak,loyalty,peak,status_social,"Uses visibility, charm, and ruthless aspiration to rise.",Native 3-trait addition.
C106,Beloved Entertainer,wit,peak,creativity,peak,friendliness,peak,neurochemical,deficient,modesty,excessive,culture_social,"Makes people laugh, gathers crowds, and sustains affection.",Native 3-trait addition.
C107,Court Gossip,perception,peak,wit,peak,honesty,deficient,empathy,peak,loyalty,peak,status_social,Reads people and spreads information for attention or leverage.,Native 3-trait addition.
C108,Matchmaker,empathy,peak,perception,peak,persuasion,peak,mating drive,deficient,friendliness,deficient,social_romantic,Understands pair bonds and nudges people toward compatible unions.,Native 3-trait addition.
C109,Social Chameleon,adaptability,peak,friendliness,peak,persuasion,peak,honesty,peak,assertiveness,excessive,status_social,Fits into many circles without necessarily dominating them.,Native 3-trait addition.
C110,Scandal Magnet,modesty,deficient,neurochemical,excessive,mating drive,excessive,discipline,peak,temperance,peak,status_social,"Draws attention through impulse, drama, and sexual/social boundary testing.",Native 3-trait addition.
C111,Lawgiver,justice,peak,civics,peak,discipline,peak,empathy,deficient,adaptability,deficient,leadership_governance,Creates durable rules and applies them consistently.,Native 3-trait addition.
C112,Merciful Judge,justice,peak,empathy,peak,temperance,peak,honesty,deficient,courage,deficient,leadership_governance,"Balances truth, harm, restraint, and social repair.",Native 3-trait addition.
C113,Hanging Judge,justice,excessive,empathy,deficient,civics,deficient,temperance,peak,humility,peak,leadership_governance,Punitive authority that equates order with harshness.,Native 3-trait addition.
C114,Clan Elder,patience,peak,temperance,peak,humility,peak,civics,deficient,wit,deficient,leadership_governance,A steady elder whose authority comes from restraint and judgment.,Native 3-trait addition.
C115,Consensus Builder,friendliness,peak,patience,peak,civics,peak,assertiveness,excessive,persuasion,deficient,leadership_governance,Keeps factions aligned through patience and civic norms.,Native 3-trait addition.
C116,Emergency Captain,courage,peak,focus,peak,assertiveness,peak,patience,excessive,neurochemical,excessive,leadership_governance,Acts clearly under pressure without becoming reckless.,Native 3-trait addition.
C117,Charismatic Reformer,persuasion,peak,civics,excessive,justice,peak,honesty,deficient,empathy,deficient,leadership_governance,Pushes social change while keeping a moral frame.,Native 3-trait addition.
C118,Cold Reformer,intellect,peak,empathy,deficient,civics,excessive,nurturance,peak,generosity,excessive,leadership_governance,Improves systems with little sentimentality.,Native 3-trait addition.
C119,Palace Operator,persuasion,excessive,perception,peak,loyalty,excessive,honesty,peak,modesty,excessive,leadership_governance,"Survives hierarchy through manipulation, reading people, and patron loyalty.",Native 3-trait addition.
C120,Popular Tribune,friendliness,peak,persuasion,peak,justice,peak,humility,deficient,empathy,deficient,leadership_governance,A public advocate who can actually move common opinion.,Native 3-trait addition.
C121,Secret Police Mind,perception,excessive,justice,excessive,civics,deficient,empathy,peak,honesty,peak,leadership_governance,"Suspicious, punitive, and authoritarian; sees enemies everywhere.",Native 3-trait addition.
C122,Institution Builder,discipline,peak,patience,peak,ambition,peak,adaptability,deficient,civics,excessive,leadership_governance,Builds durable organizations rather than winning one-off victories.,Native 3-trait addition.
C123,Crisis Tyrant,assertiveness,excessive,courage,peak,civics,deficient,empathy,peak,humility,peak,leadership_governance,Can seize control in chaos and may never give it back.,Native 3-trait addition.
C124,Reluctant Leader,humility,peak,justice,peak,courage,peak,ambition,excessive,assertiveness,deficient,leadership_governance,"Takes authority from duty, not hunger for status.",Native 3-trait addition.
C125,Shieldbearer,courage,peak,loyalty,peak,resilience,peak,physical,deficient,discipline,deficient,warfare_security,Protective front-line fighter built on endurance and loyalty.,Native 3-trait addition.
C126,Duelist,physical,peak,focus,peak,courage,peak,patience,excessive,assertiveness,deficient,warfare_security,One-on-one combat specialist with nerve and precision.,Native 3-trait addition.
C127,Skirmisher,physical,peak,adaptability,peak,courage,peak,discipline,excessive,resilience,deficient,warfare_security,Mobile fighter who thrives in irregular and changing conditions.,Native 3-trait addition.
C128,Siege Planner,intellect,peak,patience,peak,discipline,peak,curiosity,deficient,courage,excessive,warfare_security,"Methodical planner of logistics, pressure, and delayed victory.",Native 3-trait addition.
C129,Raider,courage,excessive,physical,peak,civics,excessive,empathy,peak,temperance,peak,warfare_security,"Risk-forward outsider who strikes, moves, and breaks norms.",Native 3-trait addition.
C130,Bodyguard,perception,peak,loyalty,peak,physical,peak,focus,deficient,courage,deficient,warfare_security,Protective attendant who notices danger and stays committed.,Native 3-trait addition.
