source_id,source_file,source_line,section,subsection,date_text,history_year_from,history_year_to,history_year,date_quality,title,summary,wiki_links,parse_notes
invsrc_0030,Timeline of historic inventions.wiki,61,Paleolithic,Upper Paleolithic to Early Mesolithic,47 kya,-44974,-44974,-44974,approximate,Mining,Mining and pigment extraction from hematite deposits.,ochre,
invsrc_0031,Timeline of historic inventions.wiki,62,Paleolithic,Upper Paleolithic to Early Mesolithic,45 kya – 9 kya,-42974,-6974,-24974,range,Shoe,"Footwear inferred from foot-bone morphology, with later preserved sandals and leather shoes.",shoe;Tianyuan man;sandal;Fort Rock Cave;United States;University of Oregon;Areni-1 cave;Vayots Dzor;Armenia,
invsrc_0032,Timeline of historic inventions.wiki,63,Paleolithic,Upper Paleolithic to Early Mesolithic,44 kya – 42 kya,-41974,-39974,-40974,range,Tally sticks,Tally sticks (see Lebombo bone) in Eswatini.,Tally stick;Lebombo bone;Eswatini,
invsrc_0033,Timeline of historic inventions.wiki,64,Paleolithic,Upper Paleolithic to Early Mesolithic,42 kya,-39974,-39974,-39974,approximate,Flute,Flute in Germany.,Flute,
invsrc_0034,Timeline of historic inventions.wiki,65,Paleolithic,Upper Paleolithic to Early Mesolithic,42-17.5 kya,-39974,-15474,-27724,range,Spear-thrower,"Spear-thrower or atlatl technology, with direct and indirect evidence.",spear-thrower;Lake Mungo remains,
invsrc_0035,Timeline of historic inventions.wiki,66,Paleolithic,Upper Paleolithic to Early Mesolithic,37 kya,-34974,-34974,-34974,approximate,Mortar and pestle,Mortar and pestle in Southwest Asia.,Mortar and pestle;Southwest Asia,
invsrc_0036,Timeline of historic inventions.wiki,67,Paleolithic,Upper Paleolithic to Early Mesolithic,32-28 kya,-29974,-25974,-27974,range,Rope and cordage,"Rope and cordage used for hafting tools, baskets, and sewn garments.",Rope;String (structure);baskets,
invsrc_0037,Timeline of historic inventions.wiki,68,Paleolithic,Upper Paleolithic to Early Mesolithic,31 kya,-28974,-28974,-28974,approximate,Amputation and surgery,"Amputation and surgery. Medicine in a meaningful sense likely predates the human-chimpanzee split, as, for example, herbal medicine has been observed in other primates.",Amputation;surgery;Medicine,
invsrc_0038,Timeline of historic inventions.wiki,69,Paleolithic,Upper Paleolithic to Early Mesolithic,28 kya,-25974,-25974,-25974,approximate,Ceramics,Ceramics (direct evidence) and weaving (impressions left in the ceramics) in Moravia (Czech Republic) and Georgia.,Ceramics;weaving;Moravia;Georgia (country),
invsrc_0039,Timeline of historic inventions.wiki,70,Paleolithic,Upper Paleolithic to Early Mesolithic,24 kya,-21974,-21974,-21974,approximate,Ceramic sculpture,Oldest known ceramic sculpture.,Venus of Dolní Věstonice,
invsrc_0040,Timeline of historic inventions.wiki,71,Paleolithic,Upper Paleolithic to Early Mesolithic,23 kya,-20974,-20974,-20974,approximate,Domestication of the dog,Domestication of the dog in Siberia.,Domestication of the dog;Siberia;Proceedings of the National Academy of Sciences,
invsrc_0041,Timeline of historic inventions.wiki,72,Paleolithic,Upper Paleolithic to Early Mesolithic,22 – 17 kya,-19974,-14974,-17474,range,Bullroarer,Bullroarer.,Bullroarer,
invsrc_0042,Timeline of historic inventions.wiki,73,Paleolithic,Upper Paleolithic to Early Mesolithic,22 kya,-19974,-19974,-19974,approximate,Fish hook,"Fish hook in Okinawa Island, modern day Japan.",Fish hook;Okinawa Island;Science (journal),
invsrc_0043,Timeline of historic inventions.wiki,74,Paleolithic,Upper Paleolithic to Early Mesolithic,21 – 3.7 kya,-18974,-1674,-10324,range,Star chart,"Star chart in France, and later Spain, Kashmir, Germany, and Egypt.",Star chart;France;Spain;Kashmir,
invsrc_0044,Timeline of historic inventions.wiki,93,Paleolithic,Upper Paleolithic to Early Mesolithic,20 – 16 kya,-17974,-13974,-15974,range,Pottery,Pottery in China.,Pottery;China;USA Today;Science (journal);Associated Press,
invsrc_0045,Timeline of historic inventions.wiki,94,Paleolithic,Upper Paleolithic to Early Mesolithic,14.5 kya,-12474,-12474,-12474,approximate,Bread,Bread in Jordan.,Bread;British Broadcasting Corporation,
invsrc_0046,Timeline of historic inventions.wiki,95,Paleolithic,Upper Paleolithic to Early Mesolithic,12 kya,-9974,-9974,-9974,approximate,Spindle whorl,"Spindle whorl, also the oldest wheel-like tool, at Nahal Ein Gev II (Israel).",Spindle whorl;wheel;Nahal Ein Gev II,
invsrc_0047,Timeline of historic inventions.wiki,103,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,"10,000 BC – 9000 BC",-10000,-9000,-9500,range,Agriculture,Agriculture in the Fertile Crescent.,Agriculture;Fertile Crescent,
invsrc_0048,Timeline of historic inventions.wiki,104,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,"10,000 BC – 9000 BC",-10000,-9000,-9500,range,Domestication of sheep,"Domestication of sheep in Southwest Asia (followed shortly by pigs, goats and cattle).",Domestication of the sheep;Southwest Asia,
invsrc_0049,Timeline of historic inventions.wiki,105,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,"10,000 - 9000 BC",-10000,-9000,-9500,range,Alcohol fermentation,"Alcohol fermentation – specifically mead, in Southwest Asia.",Ethanol fermentation;mead;Southwest Asia,
invsrc_0050,Timeline of historic inventions.wiki,106,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,9500 BC – 9000 BC,-9500,-9000,-9250,range,Surviving building,"Oldest known surviving building – Göbekli Tepe, in Turkey.",List of oldest extant buildings;Göbekli Tepe;Turkey,
invsrc_0051,Timeline of historic inventions.wiki,107,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,9000 BC – 6000 BC,-9000,-6000,-7500,range,Domestication of rice,Domestication of rice in China.,Domestication of rice;China,
invsrc_0052,Timeline of historic inventions.wiki,108,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,9000 BC,-9000,-9000,-9000,exact,"Mudbricks , and clay mortar","Mudbricks (unfired bricks), and clay mortar in Jericho.",Mudbrick;Mortar (masonry);Jericho,
invsrc_0053,Timeline of historic inventions.wiki,109,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,8400 BC,-8400,-8400,-8400,exact,Water well,Oldest known water well in Cyprus.,well;Cyprus,
invsrc_0054,Timeline of historic inventions.wiki,110,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,8040–7510 BC,-8040,-7510,-7775,range,Pesse canoe,"The Pesse canoe is the oldest boat we have found, while early human habitation of Crete and Australia make clear human seafaring goes back tens or hundreds of thousands of years.",Pesse canoe,
invsrc_0055,Timeline of historic inventions.wiki,111,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,8000–7500 BC,-8000,-7500,-7750,range,Proto-city,"Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey.",Proto-city;Tell es-Sultan;Çatalhöyük,
invsrc_0056,Timeline of historic inventions.wiki,112,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,8000–5000 BC,-8000,-5000,-6500,range,Potatoes,"Domestication of potatoes, in southern Peru and northwestern Bolivia, around Lake Titicaca.",potatoes;Peru;Bolivia;Lake Titicaca;Proceedings of the National Academy of Sciences,
invsrc_0057,Timeline of historic inventions.wiki,113,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,7500–6500 BC,-7500,-6500,-7000,range,Copper tools,"Copper tools, by the people of the Old Copper Complex from the Great Lakes region of North America.",Chalcolithic;Old Copper Complex,
invsrc_0058,Timeline of historic inventions.wiki,114,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,7000 BC,-7000,-7000,-7000,exact,Sled dog and Dog sled,"Sled dog and Dog sled, in Siberia.",Sled dog;Dog sled,
invsrc_0059,Timeline of historic inventions.wiki,115,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,6500 BC,-6500,-6500,-6500,exact,Lead smelting,"Evidence of lead smelting in Çatalhöyük, Turkey.",lead smelting;Çatalhöyük;Turkey,
invsrc_0060,Timeline of historic inventions.wiki,116,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,6000 BC,-6000,-6000,-6000,exact,Kiln,Kiln in Mesopotamia (Iraq).,Kiln;Mesopotamia,
invsrc_0061,Timeline of historic inventions.wiki,117,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,6th millennium BC,-6000,-5001,-5500,millennium,Irrigation,"Irrigation in Khuzistan, Iran.",Irrigation;Khuzestan Province;Iran,
invsrc_0062,Timeline of historic inventions.wiki,165,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,6000 BC – 3200 BC,-6000,-3200,-4600,range,Proto-writing,"Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan.",Proto-writing,
invsrc_0063,Timeline of historic inventions.wiki,166,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5900 – 5600 BC,-5900,-5600,-5750,range,Salt production,"Oldest evidence of salt production found in Southeastern Europe, in the countries of Moldova and Romania.",salt production;Moldova;Romania,
invsrc_0064,Timeline of historic inventions.wiki,167,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5500 – 5200 BC,-5500,-5200,-5350,range,Evidence of cheese found,"Oldest evidence of cheese found, in Poland and on the Dalmatian coast of Croatia.",cheese;Poland;Dalmatia;Croatia,
invsrc_0065,Timeline of historic inventions.wiki,168,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5500 BC,-5500,-5500,-5500,exact,Sailing,"Sailing - pottery depictions of sail boats, in Mesopotamia, and later ancient Egypt.",Sailing;Mesopotamia;ancient Egypt;John Coleman Darnell;Yale University,
invsrc_0066,Timeline of historic inventions.wiki,169,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5000 BC,-5000,-5000,-5000,exact,Copper smelting,Copper smelting in Serbia.,Smelting;Serbia,
invsrc_0067,Timeline of historic inventions.wiki,170,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5000 BC,-5000,-5000,-5000,exact,Seawall,"Seawall in Tel Hreiz, near Haifa, Palestine.",Seawall;Tel Hreiz,
invsrc_0068,Timeline of historic inventions.wiki,171,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5th millennium BC,-5000,-4001,-4500,millennium,Lacquer,Lacquer in China.,Lacquer,
invsrc_0069,Timeline of historic inventions.wiki,172,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5000 BC,-5000,-5000,-5000,exact,Cotton thread,"Cotton thread, in Mehrgarh, Indus Valley, connecting the copper beads of a bracelet.",Cotton;Mehrgarh,
invsrc_0070,Timeline of historic inventions.wiki,173,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,5000 BC – 4500 BC,-5000,-4500,-4750,range,Rowing oars,Rowing oars in China.,Oar,
invsrc_0071,Timeline of historic inventions.wiki,174,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4500 BC – 3500 BC,-4500,-3500,-4000,range,Lost-wax casting,Lost-wax casting in Palestine or the Indus Valley.,Lost-wax casting;Palestine;Indus Valley,
invsrc_0072,Timeline of historic inventions.wiki,175,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4400 BC,-4400,-4400,-4400,exact,Fired bricks,Fired bricks in China.,Brick,
invsrc_0073,Timeline of historic inventions.wiki,176,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4000 BC,-4000,-4000,-4000,exact,Probable time period of the first diamond-mines in,"Probable time period of the first diamond-mines in the world, in Southern India.",,
invsrc_0074,Timeline of historic inventions.wiki,187,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4000 BC,-4000,-4000,-4000,exact,Paved roads,"Paved roads, in and around the Mesopotamian city of Ur, Iraq.",roads;Ur,
invsrc_0075,Timeline of historic inventions.wiki,188,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4000 BC,-4000,-4000,-4000,exact,Plumbing,"Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia.",Plumbing;Pyramid of Sahure;Abusir,
invsrc_0076,Timeline of historic inventions.wiki,189,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4000 BC,-4000,-4000,-4000,exact,"Evidence of locks, the earliest example discovered","Oldest evidence of locks, the earliest example discovered in the ruins of Nineveh, the capital of ancient Assyria.",Lock and key;Nineveh;Assyria,
invsrc_0077,Timeline of historic inventions.wiki,190,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,4000 BC – 3400 BC,-4000,-3400,-3700,range,"Evidence of wheels, found","Oldest evidence of wheels, found in the countries of Ukraine, Poland, and Germany.",wheel;Ukraine;Poland;Germany;Aramco World,
invsrc_0078,Timeline of historic inventions.wiki,191,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,3630 BC,-3630,-3630,-3630,exact,Silk garments,Silk garments (sericulture) in China.,sericulture,
invsrc_0079,Timeline of historic inventions.wiki,192,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,3500 BC,-3500,-3500,-3500,exact,Probable first domestication of the horse,Probable first domestication of the horse in the Eurasian Steppes.,domestication of the horse;CBC Radio,
invsrc_0080,Timeline of historic inventions.wiki,193,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,3500 BC,-3500,-3500,-3500,exact,Wine as general anaesthesia,Wine as general anaesthesia in Sumer.,general anaesthesia,
invsrc_0081,Timeline of historic inventions.wiki,194,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,3500 BC,-3500,-3500,-3500,exact,Seal invented around,"Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier.",Seal (emblem);Near East;Uruk;Mesopotamia;Susa;Iran;Proto-Elamite (period);stamp seal;Halaf culture,
invsrc_0082,Timeline of historic inventions.wiki,195,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,3500 BC,-3500,-3500,-3500,exact,Ploughing,"Ploughing, on a site in Bubeneč, Czech Republic. Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India).",Ploughing;Bubeneč;Kalibangan,
invsrc_0083,Timeline of historic inventions.wiki,196,Agricultural and proto-agricultural eras,Neolithic and Late Mesolithic,3400 BC – 3100 BC,-3400,-3100,-3250,range,Tattoos,Tattoos in southern Europe.,Tattoo,
invsrc_0084,Timeline of historic inventions.wiki,202,Agricultural and proto-agricultural eras,Bronze Age,Late 4th millennium BC,-4000,-3001,-3500,millennium,Writing,Writing – in Sumer and Egypt.,Writing;Sumer;Egypt,
invsrc_0085,Timeline of historic inventions.wiki,203,Agricultural and proto-agricultural eras,Bronze Age,3300 BC,-3300,-3300,-3300,exact,Documented swords,"The first documented swords. They have been found in Arslantepe, Turkey, are made from arsenical bronze, and are about long. Some of them are inlaid with silver.",sword;Arslantepe;arsenical bronze;K. Aslihan Yener;silver,
invsrc_0086,Timeline of historic inventions.wiki,204,Agricultural and proto-agricultural eras,Bronze Age,3300 BC,-3300,-3300,-3300,exact,City,"City in Uruk, Sumer, Mesopotamia (modern-day Iraq).",City;Uruk;Sumer;Mesopotamia,
invsrc_0087,Timeline of historic inventions.wiki,205,Agricultural and proto-agricultural eras,Bronze Age,3250 BC,-3250,-3250,-3250,exact,Hat,"One of the earliest documented hats was worn by a man (nicknamed Ötzi) whose body and hat found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, resembling a Russian fur hat without the flaps.",hat;Ötzi;The Guardian;National Geographic;Scientific Reports,
invsrc_0088,Timeline of historic inventions.wiki,206,Agricultural and proto-agricultural eras,Bronze Age,3200 BC,-3200,-3200,-3200,exact,Dry Latrines,"Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains.",Latrine;Uruk;Toilet,
invsrc_0089,Timeline of historic inventions.wiki,207,Agricultural and proto-agricultural eras,Bronze Age,3200 BC,-3200,-3200,-3200,exact,Ljubljana Marshes Wheel,"Earliest actual wheel ever found, the Ljubljana Marshes Wheel, made of wood, in Slovenia.",Ljubljana Marshes Wheel;Slovenia,
invsrc_0090,Timeline of historic inventions.wiki,208,Agricultural and proto-agricultural eras,Bronze Age,3000 BC,-3000,-3000,-3000,exact,Dice,"Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet. Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from.",dice;Senet;backgammon;Burnt City;Iran;Mohenjo-daro,
invsrc_0091,Timeline of historic inventions.wiki,209,Agricultural and proto-agricultural eras,Bronze Age,3000 BC,-3000,-3000,-3000,exact,Tin extraction,Tin extraction in Central Asia.,Tin;Central Asia,
invsrc_0092,Timeline of historic inventions.wiki,210,Agricultural and proto-agricultural eras,Bronze Age,3000 BC – 2560 BC,-3000,-2560,-2780,range,Papyrus,Papyrus in Egypt.,Papyrus,
invsrc_0093,Timeline of historic inventions.wiki,211,Agricultural and proto-agricultural eras,Bronze Age,3000 BC,-3000,-3000,-3000,exact,Reservoir,"Reservoir in Girnar, Indus Valley.",Reservoir;Girnar,
invsrc_0094,Timeline of historic inventions.wiki,224,Agricultural and proto-agricultural eras,Bronze Age,3000 BC,-3000,-3000,-3000,exact,Receipt,Receipt in Ancient Mesopotamia (Iraq).,Receipt;Mesopotamia;Iraq,
invsrc_0095,Timeline of historic inventions.wiki,225,Agricultural and proto-agricultural eras,Bronze Age,3000 BC – 2800 BC,-3000,-2800,-2900,range,Prosthesis,"Prosthesis first documented in the Ancient Near East, in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold.",Prosthesis;Ancient Near East,
invsrc_0096,Timeline of historic inventions.wiki,226,Agricultural and proto-agricultural eras,Bronze Age,3000 BC – 2500 BC,-3000,-2500,-2750,range,Rhinoplasty,Rhinoplasty in Egypt.,Rhinoplasty,
invsrc_0097,Timeline of historic inventions.wiki,227,Agricultural and proto-agricultural eras,Bronze Age,2650 BC,-2650,-2650,-2650,exact,"Ruler, or Measuring rod","The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq).",Ruler;Measuring rod;Nippur;Sumer;Indus Valley civilisation,
invsrc_0098,Timeline of historic inventions.wiki,228,Agricultural and proto-agricultural eras,Bronze Age,2600 BC,-2600,-2600,-2600,exact,Planned city,Planned city in Indus Valley.,Planned city,
invsrc_0099,Timeline of historic inventions.wiki,229,Agricultural and proto-agricultural eras,Bronze Age,2600 BC,-2600,-2600,-2600,exact,Public sewage and sanitation systems,Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi.,Sanitation of the Indus Valley Civilisation;Mohenjo-daro;Rakhigarhi,
invsrc_0100,Timeline of historic inventions.wiki,230,Agricultural and proto-agricultural eras,Bronze Age,2600 BC,-2600,-2600,-2600,exact,Public bath,"Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan).","Great Bath, Mohenjo-daro;Mohenjo-daro;Pakistan",
invsrc_0101,Timeline of historic inventions.wiki,231,Agricultural and proto-agricultural eras,Bronze Age,2600 BC,-2600,-2600,-2600,exact,Levee,Levee in Indus Valley.,Levee,
invsrc_0102,Timeline of historic inventions.wiki,232,Agricultural and proto-agricultural eras,Bronze Age,2600 BC,-2600,-2600,-2600,exact,Weighing scale,"Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed.",Weighing scale;Fourth Dynasty of Egypt;Deben (unit);Sneferu,
invsrc_0103,Timeline of historic inventions.wiki,233,Agricultural and proto-agricultural eras,Bronze Age,2556 BC,-2556,-2556,-2556,exact,Dock,"Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu.",Dock (maritime);Wadi al-Jarf;Khufu;Lothal;Archaeological Survey of India;S. R. Rao,
invsrc_0104,Timeline of historic inventions.wiki,234,Agricultural and proto-agricultural eras,Bronze Age,2500 BC,-2500,-2500,-2500,exact,Puppetry,Puppetry in the Indus Valley.,Puppetry,
invsrc_0105,Timeline of historic inventions.wiki,235,Agricultural and proto-agricultural eras,Bronze Age,2400 BC,-2400,-2400,-2400,exact,Fork,Fork in Bronze Age Qijia culture in China.,Fork;Bronze Age;Qijia culture;China,
invsrc_0106,Timeline of historic inventions.wiki,236,Agricultural and proto-agricultural eras,Bronze Age,2400 BC,-2400,-2400,-2400,exact,History of water supply and sanitation,"Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes.",History of water supply and sanitation;Pyramid of Sahure;Abusir,
invsrc_0107,Timeline of historic inventions.wiki,237,Agricultural and proto-agricultural eras,Bronze Age,2400 BC,-2400,-2400,-2400,exact,Touchstone,Touchstone in the Indus Valley site of Banawali (modern-day India).,Touchstone (assaying tool);Banawali,
