event_key,event_family,minimum_context,probability_traits,preconditions,likely_witnesses,consequence_hooks,importance_min,importance_max,default_record_type,default_visibility,preservation_defaults,public_unknown_view,public_rumored_view,public_known_view,prose_tone_variants,notes
rescue,public_virtue,benefactor+beneficiary+settlement,empathy+;courage+;nurturance+;justice+;resilience+,danger;proximity;witnesses,neighbors;household;crowd,relief_debt;reputation;stability_gain,0.35,0.85,public_virtue_record,public_known,public_chronicle_or_song,beneficiary saved but rescuer unclear,rumor embellishes danger or helper,record praises rescuer beneficiary and danger,annal;bardic;household_memory,Positive vertical-slice family.
mercy,public_virtue,benefactor+beneficiary+settlement,empathy+;justice+;temperance+;civics+;frugality-,power_over_target;costly_choice,court;household;crowd,relief_debt;reputation;stability_gain,0.35,0.85,public_virtue_record,public_known,public_memory,beneficiary spared but patron unclear,rumor says weakness secret debt or holy sign,record names mercy giver beneficiary and cost,court_record;annal;household_memory,Public mercy or relief.
arbitration,public_virtue,arbiter+parties+settlement,justice+;patience+;civics+;persuasion+;empathy+,dispute;trusted_arbiter;public_hearing,parties;court;neighbors,legal_precedent;stability_gain;reputation,0.40,0.90,public_virtue_record,public_known,court_or_public_record,dispute calmed but decision source unclear,rumor debates bias payment or threat,record names arbiter parties and settlement,court_record;annal;later_reconstruction,Can become legal precedent.
loyal_service,public_virtue,actor+beneficiary_or_office,courage+;loyalty+;discipline+;civics+;resilience+,danger;office_or_household_need,court;household;retainers,reputation;obligation;office_trust,0.35,0.85,public_virtue_record,public_known,court_or_household_memory,service remembered but deed unclear,rumor magnifies oath danger or secret motive,record names servant beneficiary and deed,court_record;annal;bardic,Positive office/household event.
whistleblowing,public_virtue,actor+wrongdoer+settlement,honesty+;justice+;courage+;civics+;loyalty-,hidden_wrong;witness_evidence;retaliation_risk,court;neighbors;scribes,legal_fallout;reputation;faction_memory,0.45,0.95,public_virtue_record,rumored,court_record_or_sealed,wrong exposed by unnamed source,rumor names informant liar or faction,record names truth teller wrongdoer and evidence,court_record;rumor;sealed_archive,Can flip from rumor to known.
refusal_unjust_orders,public_virtue,actor+authority+settlement,justice+;courage+;loyalty-;civics+;empathy+,unjust_command;office_or_war_context,court;retainers;crowd,reputation;legal_fallout;faction_memory,0.45,0.95,public_virtue_record,rumored,court_or_song,order fails with refuser unclear,rumor names cowardice treason or conscience,record names refuser authority and order,court_record;bardic;later_reconstruction,Positive conflict with authority.
invention,knowledge_culture,creator+settlement,curiosity+;creativity+;intellect+;focus+;discipline+,craft_problem;resources;time,witnesses;patron;apprentices,knowledge_state;institution_seed;reputation,0.45,0.90,knowledge_record,public_known,public_record_or_guild_memory,new device appears with maker unknown,rumor credits patron god or foreigner,record credits creator domain and novelty,annal;guild_memory;scholarly,Knowledge vertical slice.
discovery,knowledge_culture,creator+place,curiosity+;perception+;focus+;courage+;adaptability+,observation;travel;problem,witnesses;patron;students,knowledge_state;reputation;diffusion,0.40,0.90,knowledge_record,public_known,public_record_or_oral,new fact known but discoverer unclear,rumor credits omen traveler or spirit,record credits discoverer place and domain,annal;scholarly;later_reconstruction,Includes medicine navigation and natural knowledge.
legal_precedent,knowledge_culture,judge_or_arbiter+parties+court,civics+;justice+;intellect+;discipline+;patience+,dispute;public_judgment;scribe,court;parties;scribes,knowledge_state;legal_fallout;institution_seed,0.50,0.95,knowledge_record,public_known,court_record,durable rule known but author unclear,rumor debates bias bribery or divine sign,record names judge parties rule and domain,court_record;scholarly;annal,Legal knowledge/culture bridge.
artistic_triumph,knowledge_culture,creator+audience+settlement,creativity+;focus+;wit+;courage+;persuasion+,audience;materials;festival,audience;patron;guild,reputation;institution_seed;prosperity,0.35,0.85,knowledge_record,public_known,public_memory_or_song,work remembered but maker unclear,rumor credits muse patron or foreigner,record names artist work and audience,bardic;annal;guild_memory,Cultural achievement.
famous_performance,knowledge_culture,performer+audience+settlement,creativity+;wit+;courage+;persuasion+;focus+,festival;court;crowd,audience;patron;court,reputation;prosperity;faction_memory,0.30,0.80,knowledge_record,public_known,oral_memory_or_lost,performance remembered but performer unclear,rumor exaggerates omen insult or miracle,record names performer audience and occasion,bardic;annal;court_record,Performance can carry politics.
scholarly_breakthrough,knowledge_culture,creator+settlement,curiosity+;intellect+;focus+;discipline+;perception+,study_time;patron_or_school;records,students;patron;scribes,knowledge_state;institution_seed;reputation,0.50,0.95,knowledge_record,public_known,scholarly_record_or_lost,teaching remembered but scholar unclear,rumor credits stolen text or divine dream,record names scholar problem and conclusion,scholarly;annal;later_reconstruction,Future school/library hooks.
failed_experiment,knowledge_culture,creator+settlement,curiosity+;creativity+;courage+;discipline-;temperance-,novel_attempt;risk;materials,apprentices;neighbors;patron,injury_or_loss;knowledge_state;reputation,0.25,0.75,knowledge_record,rumored,guild_memory_or_lost,accident or loss known but purpose unclear,rumor mocks folly or hidden craft,record names experimenter attempt and lesson,guild_memory;rumor;admin_summary,Failure can still teach.
grudge_formed,private_life,person_a+person_b+context,patience-;temperance-;justice+;empathy-;loyalty-,insult;loss;betrayal,none_or_close_witness,feud_seed;future_risk,0.10,0.55,household_memory,private_known,private_memory_or_lost,tension visible but cause unknown,rumor names insult debt or lover,record names people cause and grievance,household_memory;admin_summary;rumor,Private seed event.
secret_kindness,private_life,benefactor+beneficiary+settlement,empathy+;nurturance+;humility+;justice+;frugality-,need;privacy;relationship,beneficiary;household,obligation;trust;reputation_if_revealed,0.10,0.60,household_memory,private_known,private_or_lost,beneficiary helped by unknown hand,rumor credits saint lover or patron,record names helper beneficiary and gift,household_memory;later_reconstruction;annal,Positive private seed.
blackmail,private_life,actor+target+settlement,honesty-;empathy-;persuasion+;perception+;ambition+,secret;leverage;power_gap,target;confidant,obligation;coerced_patronage;legal_fallout,0.35,0.85,household_secret,private_known,secret_or_rumor,target acts under unknown pressure,rumor names secret holder or scandal,record names blackmailer target secret and demand,household_memory;rumor;sealed_archive,Can drive later public scandal.
rumor,private_life,source+target_or_topic+settlement,persuasion+;wit+;perception+;honesty-;neurochemical+,uncertainty;audience;social_tension,neighbors;market;household,reputation;faction_memory;future_investigation,0.10,0.70,rumor_record,rumored,oral_memory_or_lost,people know only that talk spreads,rumor states claim source and target,later record resolves claim and source,rumor;annal;admin_summary,Generic rumor as first-class event.
hidden_patronage,private_life,patron+recipient+settlement,ambition+;loyalty+;persuasion+;frugality-;empathy+,secret_support;status_gap;future_payoff,recipient;confidant,obligation;career_shift;scandal_if_exposed,0.25,0.80,household_secret,private_known,secret_or_archive,recipient rises with patron unknown,rumor names lover guild or court sponsor,record names patron recipient and support,household_memory;rumor;sealed_archive,Can explain suspicious advancement.
apprenticeship_breakthrough,private_life,apprentice+mentor+settlement,focus+;curiosity+;discipline+;creativity+;patience+,training;mentor_access;craft_problem,mentor;workshop;guild,career_shift;knowledge_state;reputation,0.20,0.70,work_record,private_known,guild_memory_or_lost,new skill appears with origin unclear,rumor credits stolen secret or hidden tutor,record names apprentice mentor and craft,guild_memory;household_memory;annal,Private precursor to knowledge/culture.
mental_collapse,private_life,person+household,neurochemical+;resilience-;discipline-;stress+;empathy-,bereavement;scarcity;status_loss,household;neighbors;healers,job_loss;relationship_strain;hermitage,0.20,0.75,household_memory,private_known,household_memory_or_lost,person withdraws or changes with cause unknown,rumor says curse guilt or madness,record names person stress and consequence,household_memory;rumor;admin_summary,Use carefully without moral determinism.
hermitage,private_life,person+place,resilience+;spirituality+;patience+;empathy-;neurochemical+,grief;religious_pull;social_exit,travelers;household;priests,migration;reputation;cult_seed,0.25,0.80,household_memory,rumored,oral_tradition_or_lost,person vanishes from household,rumor says holy retreat exile or madness,record names hermit place and reason,rumor;temple_chronicle;later_reconstruction,Can be private or religious.
adoption_fostering,private_life,child+guardian+settlement,nurturance+;empathy+;civics+;loyalty+;frugality-,orphan;kinship;political_bond,household;kin;court,lineage_memory;obligation;inheritance_fallout,0.25,0.80,lineage_memory,private_known,lineage_memory_or_court,child raised elsewhere with parentage unclear,rumor claims hidden birth hostage or mercy,record names child guardian and terms,lineage_roll;household_memory;court_record,Private fact with succession impact.
outlaw_case_opened,violent_crime,accused+settlement,justice-;honesty-;empathy-;ambition+;courage+,known_offense;witnesses;authority_pressure,neighbors;victims;court,legal_fallout;outlawry;risk_flight,0.45,0.95,outlaw_record,rumored,court_record_or_rumor,wrongdoing known but accused uncertain,rumor names wanted person offense and protection,record names accused offense and settlement,court_record;rumor;annal,Serious known offenses can open wanted cases.
outlaw_flight,violent_crime,accused+settlement,adaptability+;courage+;discipline-;honesty-,wanted_case;fear_of_punishment,neighbors;kin;travelers,relationship_break;exile;refuge,0.35,0.90,outlaw_record,rumored,rumor_or_lost,person vanishes after trouble,rumor says accused fled justice,record names fugitive and former settlement,rumor;court_record;later_reconstruction,Fleeing cuts normal household and partner contact.
outlaw_refuge_joined,violent_crime,accused+refuge,adaptability+;courage+;empathy-;discipline-,flight;remote_place;criminal_support,travelers;victims;informants,refuge;survival_crime;banding,0.35,0.85,outlaw_record,rumored,oral_memory_or_lost,hidden refuge suspected but people unclear,rumor places fugitive with a band or hideout,record names fugitive refuge and region,rumor;annal;later_reconstruction,Refuge is deliberately outside normal hamlet settlement logic.
outlaw_raid,property_survival_crime,refuge+settlement,justice-;empathy-;courage+;adaptability+,refuge_need;weak_patrol;stored_goods,victims;travelers;guards,property_loss;legal_fallout;fear,0.35,0.85,outlaw_record,rumored,local_memory_or_court,loss blamed on unknown raiders,rumor names outlaws from a hideout,record names refuge target and pressure,rumor;court_record;annal,Outlaw survival crime from refuges.
outlaw_pursuit,political_crime,authority+refuge,civics+;justice+;discipline+;courage+,discovery;wanted_case;local_pressure,guards;informants;neighbors,legal_fallout;capture_or_death;refuge_discovery,0.45,0.95,outlaw_record,public_known,court_or_office_record,pursuit occurs but target unclear,rumor names refuge accused or bribe,record names pursuit refuge and accused,court_record;annal;rumor,Forces are marshalled once a refuge is discovered.
outlaw_captured,political_crime,accused+authority,discipline+;courage+;civics+;justice+,pursuit;known_case;failed_escape,guards;court;crowd,custody;punishment;stigma,0.50,0.95,outlaw_record,public_known,court_record,captive known but offense blurred,rumor debates punishment fairness or payment,record names captured outlaw custody and case,court_record;annal;later_reconstruction,Nonlethal capture opens durable custody or imprisonment state.
outlaw_killed,violent_crime,accused+authority,courage+;discipline-;justice-;empathy-,pursuit;violent_resistance;severe_case,guards;travelers;court,death;legal_fallout;refuge_abandonment,0.55,0.98,outlaw_record,public_known,court_or_oral_record,death known but details unclear,rumor says outlaw died resisting or was executed,record names killed outlaw and pursuit,court_record;annal;rumor,Severe pursuit can end in death.
outlaw_bought_off,political_crime,accused+patron+authority,wealth;prestige;patronage;persuasion+,wanted_case;status_or_payment;soft_authority,court;creditors;retainers,legal_fallout;reputation;obligation,0.35,0.90,outlaw_record,rumored,rumor_or_sealed_record,case fades with reason unclear,rumor says money office or patron buried trouble,record names accused buyoff and limits,rumor;sealed_archive;court_record,Prestige and prosperity can soften trouble within limits.
outlaw_returned,violent_crime,accused+settlement,adaptability+;resilience+;patience+,case_resolved;years_absent;settlement_tolerance,neighbors;kin;court,return;stigma;job_loss,0.30,0.80,outlaw_record,rumored,local_memory_or_lost,absent person reappears,rumor says old case ended or was paid away,record names returnee case and settlement,rumor;annal;court_record,Former fugitives may return with stigma.
outlaw_forgotten,violent_crime,accused+settlement,patience+;adaptability+;social_standing+,years_passed;low_knownness;weakened_authority,neighbors;kin;travelers,return;faded_record;stigma,0.20,0.70,outlaw_record,rumored,oral_memory_or_lost,old trouble no longer pursued,rumor says memory faded or witnesses died,record names faded case and return,court_record;rumor;later_reconstruction,Wanted pressure can fade over years.
city_state_urban_consolidation,civic_politics,polity+settlement,civics+;ambition+;discipline+,urban_growth;public_order,council;temple;market,reputation;institution;public_record,0.35,0.80,city_chronicle,public_known,city_record_or_annal,city recorded but cause unclear,rumor credits ruler council temple or merchants,record names city polity and civic change,annal;court_record;temple_chronicle,Generic city-state foundation pattern.
city_state_public_works,civic_politics,polity+settlement,civics+;discipline+;generosity+,surplus;urban_need;civic_project,council;workers;temple;market,institution;reputation;prosperity,0.35,0.85,city_chronicle,public_known,city_record_or_dedication,work appears with sponsor unclear,rumor credits ruler guild temple or levy,record names project sponsor and settlement,annal;inscription;court_record,Generic city-state public works pattern.
city_state_resource_dispute,civic_politics,polity+polity+region,justice-;ambition+;courage+,shared_route;scarcity;boundary_pressure,council;market;guards,faction_memory;legal_fallout;stability,0.35,0.85,city_chronicle,rumored,rumor_or_city_record,dispute known but rival unclear,rumor names route fields stores or insult,record names rival cities and resource,annal;market_rumor;court_record,Generic city rivalry and resource dispute pattern.
city_state_league_formed,civic_politics,polity+polity+region,civics+;loyalty+;prudence+,shared_threat;trade_route;mutual_interest,council;envoys;market,alliance;faction_memory;public_record,0.40,0.90,city_chronicle,public_known,league_record_or_annal,league exists but terms unclear,rumor debates tribute trade or defense,record names member cities and purpose,annal;treaty;court_record,Generic city league formation pattern.
