trait,deviation_band,descriptor,status_tendency,leader_quality,leader_tendency,prehistoric_jobs,prehistoric_premium_jobs,bronze_age_jobs,bronze_age_premium_jobs,iron_age_jobs,iron_age_premium_jobs,medieval_jobs,medieval_premium_jobs,modern_jobs,modern_premium_jobs,society_need,selfish_desperate,strong_pairings,role_cluster,overlap_notes,design_notes
neurochemical,optimal,emotionally stable,high,strong,medium,steady hunter; notary; mediator; healer; river gatherer; crisis leader,spirit guide; camp arbiter,physician; midwife [F]; priest; notary; irrigation trench digger; caravan master,temple astronomer; judge,physician; messenger; guard; teacher; road repair crew; bailiff assistant,arena master; diplomat; officer; magistrate,physician; notary; town clerk; guild member; mill worker; stable hand,clockmaker; abbess; judge; mayor; guild master,physician; therapist; executive; teacher; notary; field service technician; emergency manager,master architect; judge,1.00,0.15,justice; empathy; discipline; resilience; patience,calm judgment under pressure,"Physician, judge, teacher, therapist, and leader repeat across justice/empathy/discipline.",One of the cleanest traits for stable leadership.
neurochemical,excess,emotionally volatile,volatile,poor,high,war chanter; ecstatic dancer; feud witness; bone tool maker; shaman; fisher,master toolmaker; berserker,lament singer; ecstatic priest; dock porter; porter; dock hand; messenger,chariot master; temple oracle; shock troop; court advisor,tragic actor; rabble rouser; mill assistant; street preacher; road crew laborer; cook,dueling judge; agitator; gladiator [M],firebrand preacher; court intriguer; rebel; parish laborer; miller; market trader,siege engineer; duelist; plague preacher,performer; activist; news reporter; emergency responder; medical aide; maintenance worker,crisis mediator; founding merchant; agitator,0.45,0.70,creativity; persuasion; courage; civics,high affect intensity and reactivity,"Performer, activist, founder, and demagogue repeat under creativity/persuasion/civics.",Great for drama systems; unstable in long bureaucratic roles.
courage,deficient,coward,low-middle,poor,low,stores keeper; camp cleaner; alarm caller; gatherer; hide preparer; lookout from safe ridge,tribal champion,market stall helper; temple servant; granary clerk; stable hand; kiln assistant; city-wall supply worker,royal workshop specialist,toll booth worker; sheltered artisan; baggage handler; clerk; ferry hand; quartermaster aide,siege craft specialist,kitchen worker; tax clerk; scribe; porter; town crier assistant; monastery worker,guild master,insurance clerk; data entry clerk; safety inspector; records clerk; dispatch clerk; remote support agent,master artisan,0.50,0.55,patience; frugality; discipline,risk avoidance and survival preservation,Clerk and safety roles also fit low risk tolerance plus discipline.,Cowardice is bad for combat but can be good for cautious compliance.
courage,optimal,courageous,high,strong,high,band defender; hunter; scout; camp cook; rescue swimmer; hide preparer,spirit guide,fire crew; explorer; soldier; brick carrier; caravan guard; chariot driver,temple astronomer,guard; scout; physician in crisis; village smith helper; tanner; shepherd,arena master; fire warden; officer,constable; explorer; plague physician; brewery assistant; blacksmith; glover,clockmaker; man-at-arms,guard; firefighter; soldier; shop owner; EMT; shift supervisor; investigative journalist,master architect; police officer,1.00,0.25,physical; justice; resilience; assertiveness,controlled risk and protection,"Firefighter, soldier, scout, EMT, journalist, founder, and leader repeat with physical/resilience/justice.",Courage should pair with restraint; otherwise it becomes recklessness.
courage,excess,reckless,volatile,poor,medium,raider; hunter; cliff scout; feud champion; river gatherer; night watch,master toolmaker; berserker,mercenary; brawler; explorer; irrigation trench digger; charcoal burner; field hand,chariot master; shock infantry [M]; chariot daredevil,skirmisher; commander; road repair crew; mason helper; rower; farmhand,dueling judge; gladiator [M]; duelist; pirate,mercenary; raider; mill worker; porter; kitchen hand; field hand,siege engineer; duelist; tournament fighter; crusader,stunt performer; extreme athlete; mercenary; day trader; field service technician; warehouse worker,crisis mediator; founding merchant; weather watcher,0.50,0.80,physical; neurochemical volatility; ambition; assertiveness,danger seeking and thrill,"Extreme athlete, mercenary, founder, and storm chaser overlap with physical/ambition/adaptability.","High reward, high body count. Spreadsheet says: yikes."
temperance,deficient,indulgent,volatile-low,moderate,medium,feast organizer; storyteller; gambler; brewer; bone tool maker; gatherer,tribal champion,luxury servant; tavern keeper; gambler; brewer; dock porter; bathhouse worker,royal workshop specialist,entertainer; innkeeper; gambler; cook; mill assistant; wine merchant,siege craft specialist,feast steward; minstrel; gambler; cook; parish laborer; tavern keeper,guild master,bartender; chef; entertainer; casino worker; food critic; medical aide,master artisan; event promoter,0.45,0.70,wit; friendliness; creativity; mating drive,pleasure seeking and appetite,"Chef, entertainer, bartender, and nightlife work overlap with wit/friendliness/creativity.",Can be productive in hospitality; risky in trust roles.
temperance,optimal,wisdom,high,strong,medium,mediator; healer; elder; hide preparer; council speaker; bone worker,spirit guide,steward; teacher; priest; notary; kiln assistant; messenger,temple astronomer; judge; diplomat,philosopher; bailiff assistant; physician; ferry hand; military advisor; brewer,arena master; magistrate,notary; scholar; guild member; physician; town crier assistant; carpenter,clockmaker; abbot; judge; guild master,therapist; executive; physician; teacher; notary; dispatch clerk; policy advisor,master architect; judge,0.90,0.15,neurochemical stability; justice; humility; patience,balanced judgment and restraint,"Judge, therapist, physician, teacher, advisor, and leader repeat across many optimal civic traits.",This row is intentionally broad: wisdom is a meta-qualification.
temperance,excess,inhibited,middle-variable,moderate,medium,taboo keeper; stores guard; rule watcher; ascetic; camp cook; ritual fasting specialist,master toolmaker,ration clerk; prison guard; accountant; censor; brick carrier; temple ascetic,chariot master,quartermaster; tax assessor; prison guard; censor; village smith helper; stoic philosopher,dueling judge,monk; censor; tax collector; austere treasurer; brewery assistant; teamster,siege engineer; inquisitor clerk,guard; auditor; risk manager; policy reviewer; shift supervisor; construction worker,crisis mediator; lay brother; compliance officer,0.55,0.40,discipline; frugality; honesty; civics-authoritarian,overcontrol and austerity,"Auditor, compliance, censor, and risk roles repeat with discipline/frugality/civics.",Good for conserving systems; bad for creativity and morale.
patience,deficient,impulsive,volatile,poor,high,dice player; messenger; forager; raider; river gatherer; hunter,tribal champion,dock brawler; market crier; skirmisher; courier; irrigation trench digger; street vendor,royal workshop specialist,performer; messenger; peddler; gambler; road repair crew; skirmisher,siege craft specialist,messenger; peddler; tavern worker; apprentice; mill worker; scullion,guild master; duelist,emergency responder; startup founder; day trader; sales rep; performer; field service technician; content creator,master artisan,0.50,0.65,courage; wit; creativity; adaptability,fast action poor delay,"Founder, performer, sales, and responder recur with courage/creativity/adaptability.",Impulsivity can make action happen before the committee finds the committee room.
patience,optimal,patient,high,strong,medium,basket maker; storyteller; tracker; healer; bone tool maker; child watcher,spirit guide,teacher; midwife [F]; scribe; potter; dock porter; irrigation maintainer,temple astronomer,physician; teacher; farmer; notary; mill assistant; craft master,arena master; judge,physician; teacher; notary; monk; parish laborer; master artisan,clockmaker; judge,project manager; therapist; scientist; teacher; nurse; medical aide; software engineer,master architect,0.85,0.20,discipline; empathy; focus; nurturance,deliberate craft care and teaching,"Teacher, therapist, nurse, scientist, engineer, and leader repeat with discipline/focus/empathy.",One of the strongest traits for mentorship and long-cycle work.
patience,excess,passive,low-middle,poor,low,ritual observer; stores keeper; herd watcher; camp sitter; hide preparer; gatherer,master toolmaker,granary watcher; low-level clerk; warehouse guard; herder; kiln assistant; temple attendant,chariot master,stable watcher; gate guard; toll clerk; copyist; ferry hand; passive tenant farmer,dueling judge,gatekeeper; field hand; watchman; copyist; town crier assistant; monastery lay worker,siege engineer,night security guard; archive assistant; records clerk; quality inspector; dispatch clerk; receptionist,crisis mediator,0.45,0.45,loyalty; modesty; focus,over-waiting and low initiative,"Guard, copyist, records, QA, and archive roles overlap with loyalty/focus/modesty.",Can be stable but may need direction.
wit,deficient,boorish,low-variable,moderate,medium,camp laborer; hide scraper; gravedigger; woodcutter; camp cook; guard,tribal champion,dock laborer; stable hand; field hand; soldier; brick carrier; quarry worker,royal workshop specialist,prison guard; infantryman; porter; tanner; village smith helper; rough merchant guard,siege craft specialist,teamster; butcher; miller; guard; brewery assistant; field laborer,guild master,warehouse worker; security guard; line cook; bouncer; shift supervisor; maintenance technician,master artisan,0.35,0.40,physical; loyalty; assertiveness,low social cleverness and blunt humor,"Guard, laborer, butcher, and bouncer overlap with physical/assertiveness.",Boorish does not mean stupid; it means poor finesse.
wit,optimal,witty,high,moderate,medium,storyteller; mediator; teacher; river gatherer; ritual speaker; net maker,spirit guide,messenger; herald; scribe; priest; irrigation trench digger; market seller,temple astronomer; diplomat,messenger; teacher; lawyer; actor; road repair crew; philosopher,arena master; diplomat,lawyer; teacher; messenger; preacher; mill worker; farmer,clockmaker; jester; diplomat,marketer; messenger; teacher; writer; lawyer; field service technician; comedian,master architect; diplomat,0.70,0.25,persuasion; friendliness; intellect; creativity,social intelligence humor and quick framing,"Teacher, lawyer, diplomat, writer, marketer, comedian, and leader repeat with persuasion/creativity.","Wit is a high-leverage social trait, not just jokes."
wit,excess,buffoon,volatile,poor,low,messenger; camp entertainer; traveling minstrel; street entertainer; bone tool maker; traveling storyteller,master toolmaker,tavern performer; festival fool; comic servant; gossip; dock porter; herald,chariot master,gossip monger; comic actor; satirist; agitator; mill assistant; street performer,dueling judge,satirist; tavern fool; traveling performer; herald; parish laborer; brewer,siege engineer; jester,comedian; influencer; satirical pundit; chaotic salesperson; medical aide; office clerk,crisis mediator; radio host; content creator,0.25,0.65,creativity; neurochemical volatility; symmetry; persuasion,attention-seeking unseriousness,"Comedian, influencer, satirist, and pundit overlap with creativity/persuasion/civics.",High entertainment value; low institutional trust unless paired with discipline.
friendliness,deficient,cantankerous,low-variable,moderate,medium,boundary guard; tool repairer; night watch; bone picker; hide preparer; solitary trapper,tribal champion,toll collector; prison guard; border guard; tax helper; kiln assistant; warehouse keeper,royal workshop specialist,quarry foreman; customs guard; tax assessor; jailer; ferry hand; debt collector,siege craft specialist,reeve assistant; tax collector; gatekeeper; gaoler; town crier assistant; stern guild inspector,guild master,parking attendant; collections agent; quality inspector; auditor; dispatch clerk; cybersecurity analyst,master artisan,0.30,0.55,honesty; discipline; focus; neurochemical suppression,low warmth and friction,"Auditor, inspector, guard, and analyst recur when social warmth is optional.",Bad for hospitality; useful for unpopular enforcement work.
friendliness,optimal,friendly,high,poor,medium,mediator; teacher; trader; healer; camp cook; camp host,spirit guide,merchant; messenger; midwife [F]; priest; brick carrier; innkeeper,temple astronomer; diplomat,recruiter; merchant; messenger; teacher; village smith helper; physician,arena master; diplomat,parish worker; innkeeper; physician; teacher; brewery assistant; guild recruiter,clockmaker,recruiter; therapist; sales rep; teacher; nurse; shift supervisor; customer service rep,master architect,0.80,0.20,empathy; persuasion; nurturance; generosity,trust building service and cooperation,"Teacher, nurse, recruiter, therapist, salesperson, and leader repeat with empathy/persuasion/nurturance.",Friendly characters are social glue and good front doors.
friendliness,excess,obsequious,volatile-low,poor,low,eager messenger; aide; camp servant; flatterer; river gatherer; client retainer,master toolmaker,scribe; client retainer; court servant; palace aide; irrigation trench digger; temple attendant,chariot master,flattery poet; courtier; informer; aide; road repair crew; client broker,dueling judge,minor clerk; flatterer; courtier; valet; mill worker; client broker,siege engineer,influencer assistant; executive assistant; political staffer; lobbyist aide; field service technician; retail salesperson,crisis mediator,0.45,0.60,loyalty-excess; modesty-excess; persuasion,people-pleasing and status seeking,"Assistant, aide, courtier, and staffer recur with sycophant loyalty/modesty.",Can climb near power but rarely holds it safely.
modesty,deficient,shameless,volatile,strong,high,bounty hunter; challenger; seducer; raider; bone tool maker; water carrier,tribal champion; renowned hunter,performer; market huckster; faction leader; courtier; dock porter; mercenary,royal workshop specialist,huckster; agitator; courtier; mill assistant; blacksmith helper; market helper,siege craft specialist; agitator; gladiator [M],charlatan; courtier; street preacher; tournament fighter; parish laborer; shepherd,guild master; street preacher,influencer; market trader; medical aide; construction worker; farm laborer; delivery driver,master artisan; agitator; entrepreneur; comedian,0.30,0.85,ambition; persuasion; symmetry; neurochemical volatility,status hunger without restraint,"Influencer, demagogue, huckster, performer, and founder recur with ambition/persuasion.","High visibility, low shame filter."
modesty,optimal,modest,high,strong,medium,craft master; mediator; healer; hide preparer; elder assistant; child watcher,spirit guide,steward; teacher; scribe; notary; kiln assistant; physician,temple astronomer; judge,engineer; teacher; guard; notary; ferry hand; physician,arena master; officer; judge,guild member; physician; scholar; notary; town crier assistant; master artisan,clockmaker; guild master; judge,civil servant; physician; scientist; engineer; teacher; dispatch clerk; project manager,master architect,0.90,0.15,humility; discipline; honesty; patience,credible service without ego inflation,"Physician, teacher, engineer, scientist, civil servant, and leader recur with humility/discipline/honesty.",A quiet competence trait.
modesty,excess,shy,low-middle,poor,low,child watcher; craft helper; quiet healer; gatherer; camp cook; stores keeper,master toolmaker,scribe assistant; temple attendant; weaver; potter; brick carrier; household servant,chariot master,stable worker; archivist; copyist; artisan; village smith helper; herbalist assistant,dueling judge,seamstress/tailor; cloister worker; copyist; clerk; brewery assistant; assistant apothecary,siege engineer,lab technician; data analyst; illustrator; archivist; librarian; shift supervisor; back-office developer,crisis mediator,0.65,0.45,focus; intellect; patience; humility,low visibility and avoidance of display,"Archivist, analyst, technician, developer, and librarian recur with focus/intellect/patience.",Great for invisible excellence; weak for public-facing roles without compensation traits.
ambition,deficient,sloth,low,poor,low,gatherer; household helper; camp helper; river gatherer; herder; fish cleaner,tribal champion,temple attendant; laborer; porter; household servant; irrigation trench digger; field hand,royal workshop specialist,tavern worker; porter; laborer; beggar; road repair crew; farmhand,siege craft specialist,field hand; tavern worker; servant; vagrant; mill worker; apprentice,guild master,day laborer; assistant; clerk; temp worker; field service technician; store stocker,master artisan; itinerant laborer,0.20,0.55,patience-excess; temperance-deficient,low drive and low advancement,Low-drive roles intentionally overlap with passive/indulgent traits.,Do not overuse as comic relief; it can also represent lack of opportunity.
ambition,optimal,ambitious,high,strong,high,craft founder; guard; military scout; bone tool maker; trade path opener; fisher,spirit guide; hunting master,administrator; architect; merchant; guard; dock porter; caravan master,temple astronomer; officer,merchant; guard; lawyer; engineer; shop owner; mill assistant,arena master; provincial governor; officer,merchant; guard; builder; lawyer; parish laborer; guild member,clockmaker; officer; guild master,entrepreneur; politician; executive; surgeon; lawyer; medical aide; product manager,master architect,0.90,0.25,discipline; persuasion; intellect; courage,goal pursuit and advancement,"Founder, merchant, officer, lawyer, executive, politician, and leader recur with persuasion/discipline/courage.",Ambition chooses harder ladders when paired with ability.
ambition,excess,ruthless,volatile-high,strong,high,raider chief; faction broker; border guard; hide preparer; granary keeper; camp cook,master toolmaker,tax farmer; kiln assistant; stable hand; weaver; potter; brewer,chariot master; mercenary captain; court advisor; slave overseer,enforcer; merchant; court advisor; soldier; ferry hand; teamster,dueling judge; mercenary captain; strongman ruler; general,tax clerk; town crier assistant; tailor; weaver; carpenter; blacksmith,siege engineer; inquisitor; mercenary captain; industrial magnate,politician; dispatch clerk; driver; nurse aide; teacher aide; janitor,crisis mediator; smuggling boss; corporate raider; founding merchant; works foreman,0.35,0.90,persuasion; assertiveness; civics-authoritarian; low empathy,win-at-all-costs domination,"Leader and founder recur, but excess ambition makes them system threats.",Use for antagonists or high-risk power players.
frugality,deficient,wasteful,volatile-low,moderate,medium,courtier; patron; feast giver; gambler; camp cook; stores keeper,tribal champion,feast steward; court spender; luxury buyer; gambler; brick carrier; treasurer,royal workshop specialist,merchant; feast sponsor; gambler; patron; village smith helper; inefficient quartermaster,siege craft specialist,wasteful steward; feast host; gambler; patron; brewery assistant; minor leader,guild master,luxury influencer; high-burn founder; event promoter; gambler; shift supervisor; spender-politician,master artisan,0.20,0.75,generosity-excess; temperance-deficient; ambition,resource leakage and extravagance,"Promoter, patron, gambler, and founder recur with generosity/temperance/ambition.",Can buy loyalty briefly; economics eventually sends the invoice.
frugality,optimal,frugal,high,moderate,medium,stores keeper; tool repairer; ration elder; river gatherer; storekeeper; night watch,spirit guide,quartermaster; accountant; merchant; steward; irrigation trench digger; granary manager,temple astronomer,quartermaster; tax assessor; accountant; merchant; road repair crew; estate manager,arena master,quartermaster; treasurer; merchant; steward; mill worker; guild accountant,clockmaker,supply-chain manager; operations manager; accountant; CFO; field service technician; sustainability analyst,master architect,1.00,0.20,discipline; temperance; honesty; patience,resource management and sustainability,"Accountant, quartermaster, merchant, operations, CFO, and leader repeat with discipline/honesty.","Frugality is critical in famine, war, and startups with twenty dollars and a dream."
frugality,excess,miserly,middle-low,moderate,medium,ration blocker; storekeeper; loan refuser; hoarder; bone tool maker; stores keeper,master toolmaker,treasurer; ration clerk; moneylender; tax farmer; dock porter; merchant,chariot master,merchant; landlord; tax assessor; usurer; mill assistant; quartermaster,dueling judge,tax collector; steward; landlord; usurer; parish laborer; hoarding guild treasurer,siege engineer,landlord; cost-cutter; budget hawk; CFO; medical aide; lender,crisis mediator,0.45,0.85,temperance-excess; discipline; civics-authoritarian,hoarding and anti-investment,"Treasurer, lender, tax collector, and CFO recur, but excess turns stewardship into strangulation.","Good for preservation, terrible for growth and morale."
persuasion,deficient,unconvincing,low-variable,poor,low,tool carrier; herder; shy helper; gatherer; hide preparer; silent laborer,tribal champion,warehouse worker; workshop helper; field hand; porter; kiln assistant; scribe assistant,royal workshop specialist,farmhand; copyist; porter; rower; ferry hand; silent artisan,siege craft specialist,quiet artisan; stable hand; field hand; copyist; town crier assistant; kitchen worker,guild master,warehouse worker; lab technician; records clerk; coder; dispatch clerk; back-office analyst,master artisan,0.55,0.55,focus; modesty-excess; intellect,low influence and poor advocacy,"Back-office analyst, coder, technician, and clerk recur where persuasion is optional.",Low persuasion can still pair with high intellect or focus for technical work.
persuasion,optimal,persuasive,high,strong,high,storyteller; mediator; trader; camp cook; alliance broker; gatherer,spirit guide,recruiter; merchant; messenger; priest; brick carrier; notary,temple astronomer; diplomat; judge advocate,merchant; teacher; guard; lawyer; village smith helper; messenger,arena master; officer; diplomat,preacher; messenger; teacher; lawyer; brewery assistant; guild negotiator,clockmaker; diplomat,salesperson; marketer; messenger; teacher; lawyer; shift supervisor; product manager,master architect; diplomat,0.90,0.30,wit; friendliness; ambition; justice,ethical influence negotiation and teaching,"Lawyer, teacher, diplomat, salesperson, marketer, product manager, and leader recur with wit/friendliness/ambition.",Persuasion should repeat anywhere social conversion matters.
persuasion,excess,manipulative,volatile-high,strong,high,mediator; street preacher; gossip monger; seducer; river gatherer; agitator,master toolmaker,tax manipulator; priest; spy handler; huckster; irrigation trench digger; court intriguer,chariot master,trickster; spy handler; lawyer; propaganda maker; road repair crew; shepherd,dueling judge; agitator,court advisor; charlatan; preacher; messenger; mill worker; glover,siege engineer; inquisitor; diplomat,political operative; huckster; propaganda strategist; lobbyist; field service technician; line cook,crisis mediator; sect leader; marketer,0.25,0.95,ambition-excess; honesty-deficient; civics-authoritarian,coercive influence and deception,"Demagogue, operative, scammer, propagandist, and lobbyist recur with civics/ambition/honesty extremes.","High agency, high social damage."
